content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords
gak usah instal. mending ke dokter yg bersangkutan saja secara langsung. konsul di sini buang2 uang. ujung2 harus datang ke dokter langsung. karna yg di kasih dokter sini cuma teori yg bejibun di google. menyesal sy keluar uang utk konsul di dokter sini. buang2 uang saja.,1,0.0,0.0,Negative,53,gak instal mending dokter bersangkutan langsung konsul buang2 uang ujung2 dokter langsung karna kasih dokter teori bejibun google menyesal uang utk konsul dokter buang2 uang,25
ini sangat bagus,5,0.0,0.0,Positive,3,bagus,1
membantu,5,0.0,0.0,Positive,1,membantu,1
dokternya sangat baik..informatif dan sangat memberkatiiii..,5,0.0,0.0,Positive,9,dokternya baikinformatif memberkatiiii,3
dokternya lama jawabnya terus baru jawab chatnya langsung tertutup,1,0.0,0.0,Negative,9,dokternya chatnya langsung tertutup,4
sangat memuaskan,5,0.0,0.0,Positive,2,memuaskan,1
baik cepat respon mksh dok..,5,0.0,0.0,Positive,6,cepat respon mksh dok,4
dokter nya ramah,5,0.0,0.0,Positive,3,dokter ramah,2
"gak bisa login, mentok sampe masukin email",1,0.0,0.0,Negative,8,gak login mentok sampe masukin email,6
mudah²an cocok dengan obatnya,4,0.0,0.0,Positive,4,mudah²an cocok obatnya,3
layanan baik,4,0.0,0.0,Positive,2,layanan,1
fast respon,5,0.2,0.6,Positive,2,fast respon,2
ku kira gratis rupanya prabayar ,1,0.0,0.0,Negative,5,ku gratis prabayar,3
aplikasi sangat menjengkelkan saya sudah bayar tapi gaada konfirmasi bisa langsung cht malah suru bayar ulang penipuan tpi rate bagus jangan menjelekan aplikasi sendiri udh tau lgi urgent bgt lol,1,0.8,0.7,Negative,30,aplikasi menjengkelkan bayar gaada konfirmasi langsung cht suru bayar ulang penipuan tpi rate bagus menjelekan aplikasi udh tau lgi urgent bgt lol,22
dokter yg sabar makasih dg semuanya,5,0.0,0.0,Positive,6,dokter sabar makasih,3
endang sukindar responsip dokternya ramah dan menjawab semua keluhan dan saya akn mencobanya,5,0.0,0.0,Positive,13,endang sukindar responsip dokternya ramah keluhan akn mencobanya,8
"penjelasan dokter bagus, dokter ramah",5,0.0,0.0,Positive,6,penjelasan dokter bagus dokter ramah,5
sangat memusakan,4,0.0,0.0,Positive,2,memusakan,1
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
dokternya baik responnya,5,0.0,0.0,Positive,3,dokternya responnya,2
"gw nyeritain keluhan, lalu dokternya jawab akan saya jelaskan, udh gw tunggu kurleb setengah jam, tiba² diputusin percakapannya sama dokternya, gak amanah, gak iklas gw anjer",1,0.0,0.0,Negative,31,gw nyeritain keluhan dokternya udh gw tunggu kurleb jam tiba² diputusin percakapannya dokternya gak amanah gak iklas gw anjer,19
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
sangat jelas dalam menjelaskan,4,0.0,0.0,Positive,4,,0
"tidak muncul keterangan/penjelasan obat dari resep dokter yg diberikan, langsung diarahkan untuk check out",3,0.0,0.0,Neutral,15,muncul keteranganpenjelasan obat resep dokter langsung diarahkan check out,9
aplikasi apa ini mau konsultasi aja berbayar begitu mahal tolong hapus aplikasi ini dari playstore gak ada manfaatnya udah berbayar dokternya selow respon hoalah,1,0.0,0.0,Negative,24,aplikasi konsultasi berbayar mahal tolong hapus aplikasi playstore gak manfaatnya udah berbayar dokternya selow respon hoalah,16
dktrnya baik..dan responnya jg cpt . udh 2 x cht trnyta ma dktr yg sma...shat2 sllu dktr...,5,0.0,0.0,Positive,22,dktrnya baikdan responnya jg cpt udh 2 x cht trnyta ma dktr smashat2 sllu dktr,15
baik sangat baik,5,0.0,0.0,Positive,3,,0
baik,5,0.0,0.0,Positive,1,,0
luar biasa penjelasanya,5,0.0,0.0,Positive,3,penjelasanya,1
pelayanan ramah cepat memberikan solusi,5,0.0,0.0,Positive,5,pelayanan ramah cepat solusi,4
baik bagusss,5,0.0,0.0,Positive,2,bagusss,1
"aplikasinya ga bisa dibuka sama sekali di hp saya (andro), cuma muncul tulisan alodokter latar biru doang. udh coba uninstall trs install ulang tetep aja. saya beri bintang 1 dulu, tolong dibenahi",1,0.0,0.0,Negative,38,aplikasinya ga dibuka hp andro muncul tulisan alodokter latar biru doang udh coba uninstall trs install ulang tetep bintang 1 tolong dibenahi,22
mahal konsul lewat online aja bayar ...,2,0.0,0.0,Negative,7,mahal konsul online bayar,4
dokternya ramah,5,0.0,0.0,Positive,2,dokternya ramah,2
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
j 04 48. halo sy kokoh dr nugroho setiawan teus gl 25 agst hr minggu ibu t kiem j 08 09 sm cik ayang ke gereja roxy terus jalan2 ke mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan sy kokoh bakwan,5,0.0,0.25,Positive,46,j 04 48 halo kokoh dr nugroho setiawan teus gl 25 agst hr minggu t kiem j 08 09 sm cik ayang gereja roxy jalan2 mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan kokoh bakwan,40
chat saya tidak dibalas dokter padahal saya sudah bayar biaya konsultasi.,1,0.0,0.0,Negative,12,chat dibalas dokter bayar biaya konsultasi,6
sangat baik dan sopan,5,0.0,0.0,Positive,4,sopan,1
terima kasih alodokter,5,0.0,0.0,Positive,3,terima kasih alodokter,3
"jawaban memuaskan,, tapi slow respon mungkin karna hari minggu.",4,-0.30000000000000004,0.39999999999999997,Positive,12,memuaskan slow respon karna minggu,5
informatif,5,0.0,0.0,Positive,1,informatif,1
alodokter ini suatu aplikasi yang bagus yang sangat bermanfaat bagi kita semua yang membutuhkan konsultasi secepatnya atas sakit penyakit kita. hanya untuk penyakit dalam organ tubuh kita perlu mengunjungi dokternya agar tidak salah pengobatan.,5,0.0,0.0,Positive,36,alodokter aplikasi bagus bermanfaat membutuhkan konsultasi secepatnya sakit penyakit penyakit organ tubuh mengunjungi dokternya salah pengobatan,16
"ramah, dan sabar menjawab pertanyaan yg lmayan bnyak",5,0.0,0.0,Positive,9,ramah sabar lmayan bnyak,4
penjelasan yg baik dan mudah di pahami,4,0.0,0.0,Positive,7,penjelasan mudah pahami,3
baik dokter ramah,2,0.0,0.0,Negative,3,dokter ramah,2
sangat bermanfaat,5,0.0,0.0,Positive,2,bermanfaat,1
untuk dokternya responnya cepet dan ramah2 hanya saja terlalu lama pengiriman obatnya sampe 5 hari padahal satu kabupaten tapi sampai 4/5 hari.,4,0.0,0.0,Positive,23,dokternya responnya cepet ramah2 pengiriman obatnya sampe 5 kabupaten 45,10
baik dan ramah respon cepat,5,0.0,0.0,Positive,5,ramah respon cepat,3
bagus bgtt pelayanannya,5,0.0,0.0,Positive,3,bagus bgtt pelayanannya,3
dokter ya baik,5,0.0,0.0,Positive,3,dokter,1
puas bisa bertanya,5,0.0,0.0,Positive,3,puas,1
sangat puas dan mantap,5,0.0,0.0,Positive,4,puas mantap,2
lamaaaa respon,1,0.0,0.0,Negative,2,lamaaaa respon,2
"sgt teredukasi skl, sekaligus bs mengerahui berbagai penyakit melalui pertanyaan2 tmn2 pasien . trm ksh tuhan berkati ",5,0.0,0.0,Positive,18,sgt teredukasi skl bs mengerahui penyakit pertanyaan2 tmn2 pasien trm ksh tuhan berkati,13
kirain gratis chat sm dokter tpi perbayaran terimakasih,1,0.0,0.0,Negative,8,kirain gratis chat sm dokter tpi perbayaran terimakasih,8
dr marsya andriani varinza,5,0.0,0.0,Positive,4,dr marsya andriani varinza,4
"bagus skali, cpat respon, mantap",5,0.0,0.0,Positive,7,bagus skali cpat respon mantap,5
"parah, minta resep bukannya di kasih resep malah penjelasan panjang lebar di tungguin lama, chat di tutup. taunya resepnya ga dikasih. jadinya saya harus bayar 2x untuk chat dokter lagi,",1,0.0,0.0,Negative,35,parah resep kasih resep penjelasan lebar tungguin chat tutup taunya resepnya ga dikasih bayar 2x chat dokter,17
masa butuh obat sekarang dikirim 2-3 hari kemudian dan tidak dpt di cancel,1,0.0,0.0,Negative,13,butuh obat dikirim 23 dpt cancel,6
tolong jangan ada lagi pembulian di ppds,1,0.0,0.0,Negative,7,tolong pembulian ppds,3
respon cepat,5,0.0,0.0,Positive,2,respon cepat,2
"maaf rating rendah, lebih baik tanya di internet semua jawaban tersedia, memang dokternya baik dan tanggap tp gimana ya.. bukan salah dokternya tp aplikasi berbayar ini kurang worth it... bisa jadi semua yg disarankan dokter sdh kita lakukan, kalau hanya chat saya rasa kurang pas, ujung2nya bingung mau chat apalagi karena kurang membantu, saya sarankan ke dokter langsung di kota anda masing2 lebih masuk akal... karena ujung2nya disuruh periksa ke dokter... salam sehat",2,0.3,0.1,Negative,82,maaf rating rendah internet tersedia dokternya tanggap tp gimana salah dokternya tp aplikasi berbayar worth it disarankan dokter sdh lakukan chat pas ujung2nya bingung chat membantu sarankan dokter langsung kota masing2 masuk akal ujung2nya disuruh periksa dokter salam sehat,39
"sangat bermanfaat sekali atas arahan yang diberikan oleh dokter di alodokter,aplikasi ini sangat membantu bila ibu bingung apa yang harus dilakukan segera bila ada keluarga yang sakit khususnya anak-anak",5,0.0,0.0,Positive,31,bermanfaat arahan dokter alodokteraplikasi membantu bingung keluarga sakit anakanak,9
dokternya cepat tanggap,5,0.0,0.0,Positive,3,dokternya cepat tanggap,3
dokter nya ramah dan penjelasannya mudah dipahami,5,0.0,0.0,Positive,7,dokter ramah penjelasannya mudah dipahami,5
respon sangat cepat dan ramah dokternya baik..,5,0.0,0.0,Positive,8,respon cepat ramah dokternya,4
ksih 1 aja. kenapa.....? coba pikirkan baik2 kawan.... kita tidak di obati. tp harus bayar. obat nya hanya dgn kata2. mana bisa sembuh. hadeuhhhhh.,1,0.0,0.0,Negative,33,ksih 1 coba pikirkan baik2 kawan obati tp bayar obat dgn kata2 sembuh hadeuhhhhh,14
mkc penjelasan dokter,5,0.0,0.0,Positive,3,mkc penjelasan dokter,3
"respon dokter nya cepat, baik ramah, sangat membantu",5,0.0,0.0,Positive,10,respon dokter cepat ramah membantu,5
"aplikasinya bagus, tapi sayang tidak bisa memberikan resep lebih banyak. dokter juga tidak bisa memberikan saran yg solutif, resep manual pun tidak diberikan. bad experience.",3,-0.6999999999999998,0.6666666666666666,Neutral,30,aplikasinya bagus sayang resep dokter saran solutif resep manual bad experience,11
respon yang cepat,5,0.0,0.0,Positive,3,respon cepat,2
"sekali pake aplikasi ini aman aman aja, trus kedua kali malah lemot bngt balasannya tp dijam balesan selang 1/2 menit, baru kekirimnya pas obrolan berakhir  udh transfer lagi malah ngulang hal yg sama disuruh kirim foto yg lagi sakit tp tombol yg buat share mana? ditulisan dokter masih mengetik disuruh tunggu hadehh keburu obrolan berakhir lagi",1,0.0,0.0,Negative,59,pake aplikasi aman aman trus kali lemot bngt balasannya tp dijam balesan selang 12 menit kekirimnya pas obrolan udh transfer ngulang disuruh kirim foto sakit tp tombol share ditulisan dokter mengetik disuruh tunggu hadehh keburu obrolan,36
good job,5,0.7,0.6000000000000001,Positive,2,good job,2
"fast respon bgt di keadaan darurat,mantap dokternya.",5,0.2,0.6,Positive,10,fast respon bgt daruratmantap dokternya,5
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
dokter yang ramah dan memberi penjelasan secara detail.,5,0.0,0.0,Positive,9,dokter ramah penjelasan detail,4
puas,5,0.0,0.0,Positive,1,puas,1
bagus terang sekali,5,0.0,0.0,Positive,3,bagus terang,2
sampah,1,0.0,0.0,Negative,1,sampah,1
bagus bgt layanannya,5,0.0,0.0,Positive,3,bagus bgt layanannya,3
sangat puas,5,0.0,0.0,Positive,2,puas,1
ntahlah,1,0.0,0.0,Negative,1,ntahlah,1
dokternya sangat membantu,5,0.0,0.0,Positive,3,dokternya membantu,2
"saya puas dengan jawaban dokternya,,sangat bermanfaat sekali bagi saya yg new mom",5,0.13636363636363635,0.45454545454545453,Positive,14,puas dokternyasangat bermanfaat new mom,5
sangat membantu sekali,5,0.0,0.0,Positive,3,membantu,1
jawaban dari dokter lama banget.,1,0.0,0.0,Negative,6,dokter banget,2
fast respon baik ramah. trims kasih dok,5,0.2,0.6,Positive,8,fast respon ramah trims kasih dok,6
sangat puas,5,0.0,0.0,Positive,2,puas,1
cepat tanggap responyya ,5,0.0,0.0,Positive,3,cepat tanggap responyya,3
bagus,5,0.0,0.0,Positive,1,bagus,1
maaf pernah sy download krn kita bebas bertanya dan gratis pula tapi sekarang tdk bisa gratis lagi,4,0.0,0.0,Positive,17,maaf download krn bebas gratis tdk gratis,7
"dokternya ramah dan langsung balas chat nya, trims",5,0.0,0.0,Positive,9,dokternya ramah langsung balas chat trims,6
"respon dokrrnya cepet dan bagus ,bahsanya juga tidak menakutkan jdi merasa konsultasi dengan aman",5,0.0,0.0,Positive,15,respon dokrrnya cepet bagus bahsanya menakutkan jdi konsultasi aman,9
singkat padat jelas,4,0.0,0.0,Positive,3,singkat padat,2
cukup membantu cepat memberi respon,5,0.0,0.0,Positive,5,membantu cepat respon,3
bagus,5,0.0,0.0,Positive,1,bagus,1
bagus,5,0.0,0.0,Positive,1,bagus,1
apk ini membantu bgt apalagi buat emak2 yg sdh punya anak.,5,0.0,0.0,Positive,12,apk membantu bgt emak2 sdh anak,6
sngat bgs,4,0.0,0.0,Positive,2,sngat bgs,2
selalu cocok berobat sm alodokter.,5,0.0,0.0,Positive,6,cocok berobat sm alodokter,4
bagus,5,0.0,0.0,Positive,1,bagus,1
"selamat malam dok,sya mau bertanya ..sya berusia 39 th dan mempunyai riwayat darah tinggi ,setiap hari minum obat darah tinggi.sya ingin program hamil ank ke dua apakah masih bisa dok dg kondisi saya yg punya riwayat darah tinggi?",5,0.0,0.0,Positive,43,selamat malam doksya sya berusia 39 th riwayat darah minum obat darah tinggisya program hamil ank dok kondisi riwayat darah,20
parah si inimah cuma mau konsultasi aja harus bayar astaga apa apa kudu bayar parah emng kementerian kesehatan indonesia,1,0.0,0.0,Negative,19,parah si inimah konsultasi bayar astaga kudu bayar parah emng kementerian kesehatan indonesia,13
baik sekali dokter ramah..penjelasannya detail..sehat selalu dokter,5,0.0,0.0,Positive,11,dokter ramahpenjelasannya detailsehat dokter,4
membantu sekali,5,0.0,0.0,Positive,2,membantu,1
bagus bg,4,0.0,0.0,Positive,2,bagus bg,2
respon cepat,5,0.0,0.0,Positive,2,respon cepat,2
kenapa kita harus membayar untuk chat ataupun sharing?,3,0.0,0.0,Neutral,9,membayar chat sharing,3
terimakasih dok,5,0.0,0.0,Positive,2,terimakasih dok,2
halo dok udh nyambung blm,5,0.0,0.0,Positive,5,halo dok udh nyambung blm,5
syaiful rahim,3,0.0,0.0,Neutral,2,syaiful rahim,2
mantab,5,0.0,0.0,Positive,1,mantab,1
konsultasi doank bayar auto uninstall ga manfaat ga membantu,1,0.0,0.0,Negative,9,konsultasi doank bayar auto uninstall ga manfaat ga membantu,9
bukannya gratis malah bayar,1,0.0,0.0,Negative,4,gratis bayar,2
membantu sekali saat dibutuhkan untuk konsultasi dokter. bisa 24 jam konsultasi dengan dokter mana pun dan spesialis apa pun. terima kasih alodokter ,5,0.0,0.0,Positive,24,membantu dibutuhkan konsultasi dokter 24 jam konsultasi dokter spesialis terima kasih alodokter,12
"sangat membantu banget, beli obat slalu gratis ongkir",5,0.0,0.0,Positive,9,membantu banget beli obat slalu gratis ongkir,7
"mau tebus obat di aloshop gagal terus. udah 1 jam saya coba tetep gagal, coba ngikutin saran cs nya masih gagal. akhirnya diminta buat tebus offline, padahal saya lagi butuh bgt saat ini juga dan cuman bisa tebus online",2,0.0,0.0,Negative,43,tebus obat aloshop gagal udah 1 jam coba tetep gagal coba ngikutin saran cs gagal tebus offline butuh bgt cuman tebus online,22
sangat baik,5,0.0,0.0,Positive,2,,0
hasil konsultasi blm memuaskan. tidak mendapatkan jawaban yang pasti. hanya mendapatkan saran harus konsultasi lanjutan dengan dokter spesialis,2,0.0,0.0,Negative,20,hasil konsultasi blm memuaskan saran konsultasi lanjutan dokter spesialis,9
baik dokternya dan respon dgn cepat,5,0.0,0.0,Positive,6,dokternya respon dgn cepat,4
aplikasi kurang gaji,1,0.0,0.0,Negative,3,aplikasi gaji,2
mengecewakan lagi sakit sudah bayar buat konsultasi tapi tidak ada penjelasan terkait penyakit dan chat langsung di tutup oleh dokter,1,0.0,0.0,Negative,20,mengecewakan sakit bayar konsultasi penjelasan terkait penyakit chat langsung tutup dokter,11
terbaik,5,0.0,0.0,Positive,1,terbaik,1
dokternya ramah dan baik menjelaskan dgn detail,5,0.0,0.0,Positive,7,dokternya ramah dgn detail,4
membantu,5,0.0,0.0,Positive,1,membantu,1
saya usia 82 tahun dokter sdh 5 hari perut selalu kembunga. sering keluar gas. kalau mau keluar gas diawali sedikit mules. kalaummules perut sara merasa lemes dokrer.,5,0.0,0.0,Positive,31,usia 82 dokter sdh 5 perut kembunga gas gas diawali mules kalaummules perut sara lemes dokrer,16
sangat bermanfaat,4,0.0,0.0,Positive,2,bermanfaat,1
sangat baik,5,0.0,0.0,Positive,2,,0
"dokternya ramah,jawaban dapat dimengerti",5,0.0,0.0,Positive,6,dokternya ramahjawaban dimengerti,3
respon baik,5,0.0,0.0,Positive,2,respon,1
bagus jelas,5,0.0,0.0,Positive,2,bagus,1
dokter menjawab dengan sangat jelas. terima kasih dok,5,0.0,0.0,Positive,9,dokter terima kasih dok,4
sangat ramah,5,0.0,0.0,Positive,2,ramah,1
ok,5,0.5,0.5,Positive,1,ok,1
bagus,5,0.0,0.0,Positive,1,bagus,1
sangat jelas dan bermanfaat.,5,0.0,0.0,Positive,5,bermanfaat,1
sangat baikkkk,5,0.0,0.0,Positive,2,baikkkk,1
mantap...respon cepat,5,0.0,0.0,Positive,4,mantaprespon cepat,2
baik ramah,5,0.0,0.0,Positive,2,ramah,1
kejutan untuk anda,5,0.0,0.0,Positive,3,kejutan,1
