content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords,review_stem_without_stopwords
"penjelasannya sangat membantu,, semoga saya bisa menjadi lebh tenang setlh ini.",5,0.0,0.0,Positive,14,penjelasannya membantu semoga lebh tenang setlh,6,jelas bantu moga lebh tenang setlh
"apaan..barusan chat ,katanya disuruh tunggu 8 menit. lah ini lama banget ,udah set.jam dan gak dijawab2 pdhl udah bayar juga. komplen ke customer service malah gak ada jawaban. jangan download aplikasi ini, jelek banget",1,0.0,0.0,Negative,42,apaanbarusan chat disuruh tunggu 8 menit banget udah setjam gak dijawab2 pdhl udah bayar komplen customer service gak download aplikasi jelek banget,22,apaanbarusan chat suruh tunggu 8 menit banget udah setjam gak dijawab2 pdhl udah bayar komplen customer service gak download aplikasi jelek banget
puas,5,0.0,0.0,Positive,1,puas,1,puas
baguss,5,0.0,0.0,Positive,1,baguss,1,baguss
sangat membantu sekali untuk tes cpns,5,0.0,0.0,Positive,6,membantu tes cpns,3,bantu tes cpns
terimakasih banyak untuk solusi nya ,5,0.0,0.0,Positive,5,terimakasih solusi,2,terimakasih solusi
good,5,0.7,0.6000000000000001,Positive,1,good,1,good
"beli obat lewat aplikasi alodokter , berhubung di apoteknya gak ada di aliran manual beli di apotek k24 ternyata harga di aplikasi alodokter sama k24 berbeda jauh separuh harga. gue rugiiiiiii dari 51 ribuan jadi 27 ribuan....",1,0.0,0.0,Negative,39,beli obat aplikasi alodokter berhubung apoteknya gak aliran manual beli apotek k24 harga aplikasi alodokter k24 berbeda separuh harga gue rugiiiiiii 51 ribuan 27 ribuan,25,beli obat aplikasi alodokter hubung apotek gak alir manual beli apotek k24 harga aplikasi alodokter k24 beda paruh harga gue rugiiiiiii 51 ribu 27 ribu
jelek pelayanan nya lambat bangettt,1,0.0,0.0,Negative,5,jelek pelayanan lambat bangettt,4,jelek layan lambat bangettt
aplikasi lamban jadi jawaban dokter lama masuk,3,0.0,0.0,Neutral,7,aplikasi lamban dokter masuk,4,aplikasi lamban dokter masuk
dokternya kompeten dan fast response,5,0.2,0.6,Positive,5,dokternya kompeten fast response,4,dokter kompeten fast response
"dr. tania maulani, sp.m lama sekali dia respon bagian mata. saya kan member uang di potong perbulan dari alodokter. tapi dikecewakan begini",1,0.0,0.0,Negative,25,dr tania maulani spm respon mata member uang potong perbulan alodokter dikecewakan,12,dr tania maulani spm respon mata member uang potong bulan alodokter kecewa
"mengecewakan saya chat dg spkk, berbayar, tapi 30 menit tidak efektif. chat tidak masuk² meskipun sudah di refresh. alhasil tidak ada solusi dr dokter.",1,0.0,0.0,Negative,29,mengecewakan chat spkk berbayar 30 menit efektif chat masuk² refresh alhasil solusi dr dokter,14,kecewa chat spkk bayar 30 menit efektif chat masuk refresh alhasil solusi dr dokter
dokterna baik n tanggap,5,0.0,0.0,Positive,4,dokterna n tanggap,3,dokterna n tanggap
baik dan sabar serta menyenangkan,4,0.0,0.0,Positive,5,sabar menyenangkan,2,sabar senang
dokternya sangat clear menjelaskan dan menjawab pertanyaan saya.,5,0.10000000000000002,0.3833333333333333,Positive,9,dokternya clear,2,dokter clear
good,5,0.7,0.6000000000000001,Positive,1,good,1,good
bagussss,5,0.0,0.0,Positive,1,bagussss,1,bagussss
sangat membantu dokternya ramah terimakasih dokter,5,0.0,0.0,Positive,6,membantu dokternya ramah terimakasih dokter,5,bantu dokter ramah terimakasih dokter
mau tanya keluhan bola mata pasca kecelakaan pandangan ganda,4,0.0,0.0,Positive,9,keluhan bola mata pasca kecelakaan pandangan ganda,7,keluh bola mata pasca celaka pandang ganda
"dokternya baik, informasi yang diberikan jelas, sangat membantu.",5,0.0,0.0,Positive,11,dokternya informasi membantu,3,dokter informasi bantu
cepat respon dan penjelasan detail,5,0.0,0.0,Positive,5,cepat respon penjelasan detail,4,cepat respon jelas detail
"aplikasi brengsek. orang lagi sakit malah pesen obat dibatalkan melulu. chat apotek k24 kemanggisan katanya yg batalin aplikasi alodokter, chat alodokter katanya yang batalin apoteknya",1,0.0,0.0,Negative,28,aplikasi brengsek orang sakit pesen obat dibatalkan melulu chat apotek k24 kemanggisan batalin aplikasi alodokter chat alodokter batalin apoteknya,19,aplikasi brengsek orang sakit sen obat batal melulu chat apotek k24 manggis batalin aplikasi alodokter chat alodokter batalin apotek
makin lemot,1,0.0,0.0,Negative,2,lemot,1,lot
"dokternya ramah,penjelasannya mudah dimengerti sangat menbantu sekali",5,0.0,0.0,Positive,9,dokternya ramahpenjelasannya mudah dimengerti menbantu,5,dokter ramahpenjelasannya mudah erti menbantu
awesome penjelasan sangat detail,5,1.0,1.0,Positive,4,awesome penjelasan detail,3,awesome jelas detail
pelayanannya pendaftaran memuaskan,5,0.0,0.0,Positive,3,pelayanannya pendaftaran memuaskan,3,layan daftar muas
pernah pakai dan puas,5,0.0,0.0,Positive,4,pakai puas,2,pakai puas
dokternya sangat sabar dan baik,5,0.0,0.0,Positive,5,dokternya sabar,2,dokter sabar
mantap,5,0.0,0.0,Positive,1,mantap,1,mantap
sangat ramah dan mudah dipahami penjelasan nya,5,0.0,0.0,Positive,7,ramah mudah dipahami penjelasan,4,ramah mudah paham jelas
terima kasih. respon dokter nya sangat cepat,5,0.0,0.0,Positive,8,terima kasih respon dokter cepat,5,terima kasih respon dokter cepat
"cepat tanggap, dr baik n sangat membantu,smoga obtnya cocok",5,0.0,0.0,Positive,12,cepat tanggap dr n membantusmoga obtnya cocok,7,cepat tanggap dr n membantusmoga obtnya cocok
"customer services kurang membantu, lama prosesnya cuman via wa, tidak bisa protes kalau barang yang dikirim salah. harga dan kuantitas yang tercantum di aplikasi tidak sesuai dengan jumlah barang yang di dapat saat sampai di rumah (harusnya 24 ribu dapat 2 pcs, malah cuman satu yang dikirim). kalau ngajuin pembatalan terkait janji cek kesehatan susah, prosesnya lama. tidak bisa kasih catatan juga buat apotek kalau mau kasih notes saat beli barang",2,0.0,0.0,Negative,80,customer services membantu prosesnya cuman via wa protes barang dikirim salah harga kuantitas tercantum aplikasi sesuai barang rumah 24 ribu 2 pcs cuman dikirim ngajuin pembatalan terkait janji cek kesehatan susah prosesnya kasih catatan apotek kasih notes beli barang,39,customer services bantu proses cuman via wa protes barang kirim salah harga kuantitas cantum aplikasi sesuai barang rumah 24 ribu 2 pcs cuman kirim ngajuin batal kait janji cek sehat susah proses kasih catat apotek kasih notes beli barang
"respon sangat cepat sekali serta penjelasannya detail mudah dimengerti, trimaksih dok ",5,0.0,0.0,Positive,12,respon cepat penjelasannya detail mudah dimengerti trimaksih dok,8,respon cepat jelas detail mudah erti trimaksih dok
"chat dokter spesialis berbayar tapi jawabannya satu dua patah kata, sangat tidak memuaskan, mending cari rujukan bpjs. masih lebih baik pelayanan tatap muka bpjs daripada bayar 45.000 , pelit jawaban.",1,0.0,0.0,Negative,34,chat dokter spesialis berbayar jawabannya patah memuaskan mending cari rujukan bpjs pelayanan tatap muka bpjs bayar 45000 pelit,18,chat dokter spesialis bayar jawab patah muas mending cari rujuk bpjs layan tatap muka bpjs bayar 45000 pelit
"chat kaya template, dijelasin gimanya keadaan, dibaca tok, notifnya dokter sedang menganalisis masalahmu, tapu luamaaaa setengah jam lebih tiba2 endchat, percuma bayar ga ada hasil apa2!",1,0.0,0.0,Negative,32,chat kaya template dijelasin gimanya dibaca tok notifnya dokter menganalisis masalahmu tapu luamaaaa jam tiba2 endchat bayar ga hasil apa2,20,chat kaya template dijelasin gimanya baca tok notifnya dokter analis masalah tapu luamaaaa jam tiba2 endchat bayar ga hasil apa2
"kapan indonesia maju, kalau chat dengan dokter aja berbayar, sedangkan chat di aplikasi biru gratis, padahal cuma nanya masalah seputar penyakit....",1,0.0,0.0,Negative,25,indonesia maju chat dokter berbayar chat aplikasi biru gratis nanya seputar penyakit,12,indonesia maju chat dokter bayar chat aplikasi biru gratis nanya putar sakit
gara gara 1 dokter pelayanan nya ga bagus . belum beres diagnosa dan blm dpt resep obat tapi chat sudah di akhir secara sebelah pihak . mau di refund proses nya 14 hari kerja .kelamaan ..,2,0.0,0.0,Negative,36,gara gara 1 dokter pelayanan ga bagus beres diagnosa blm dpt resep obat chat sebelah refund proses 14 kerja,19,gara gara 1 dokter layan ga bagus beres diagnosa blm dpt resep obat chat belah refund proses 14 kerja
sangat berguna,5,0.0,0.0,Positive,2,berguna,1,guna
siiip mantap,5,0.0,0.0,Positive,2,siiip mantap,2,siiip mantap
"ramah,baik,sopan",5,0.0,0.0,Positive,5,ramahbaiksopan,1,ramahbaiksopan
memuaskan,4,0.0,0.0,Positive,1,memuaskan,1,muas
respon yang sangat baik,5,0.0,0.0,Positive,4,respon,1,respon
baik,5,0.0,0.0,Positive,1,,0,
penjelasan cukup memuaskan,4,0.0,0.0,Positive,3,penjelasan memuaskan,2,jelas muas
terbaik,5,0.0,0.0,Positive,1,terbaik,1,baik
gak usah instal. mending ke dokter yg bersangkutan saja secara langsung. konsul di sini buang2 uang. ujung2 harus datang ke dokter langsung. karna yg di kasih dokter sini cuma teori yg bejibun di google. menyesal sy keluar uang utk konsul di dokter sini. buang2 uang saja.,1,0.0,0.0,Negative,53,gak instal mending dokter bersangkutan langsung konsul buang2 uang ujung2 dokter langsung karna kasih dokter teori bejibun google menyesal uang utk konsul dokter buang2 uang,25,gak instal mending dokter sangkut langsung konsul buang2 uang ujung2 dokter langsung karna kasih dokter teori bejibun google sesal uang utk konsul dokter buang2 uang
ini sangat bagus,5,0.0,0.0,Positive,3,bagus,1,bagus
membantu,5,0.0,0.0,Positive,1,membantu,1,bantu
dokternya sangat baik..informatif dan sangat memberkatiiii..,5,0.0,0.0,Positive,9,dokternya baikinformatif memberkatiiii,3,dokter baikinformatif memberkatiiii
dokternya lama jawabnya terus baru jawab chatnya langsung tertutup,1,0.0,0.0,Negative,9,dokternya chatnya langsung tertutup,4,dokter chatnya langsung tutup
sangat memuaskan,5,0.0,0.0,Positive,2,memuaskan,1,muas
baik cepat respon mksh dok..,5,0.0,0.0,Positive,6,cepat respon mksh dok,4,cepat respon mksh dok
dokter nya ramah,5,0.0,0.0,Positive,3,dokter ramah,2,dokter ramah
"gak bisa login, mentok sampe masukin email",1,0.0,0.0,Negative,8,gak login mentok sampe masukin email,6,gak login mentok sampe masukin email
mudah²an cocok dengan obatnya,4,0.0,0.0,Positive,4,mudah²an cocok obatnya,3,mudah an cocok obat
layanan baik,4,0.0,0.0,Positive,2,layanan,1,layan
fast respon,5,0.2,0.6,Positive,2,fast respon,2,fast respon
ku kira gratis rupanya prabayar ,1,0.0,0.0,Negative,5,ku gratis prabayar,3,ku gratis prabayar
aplikasi sangat menjengkelkan saya sudah bayar tapi gaada konfirmasi bisa langsung cht malah suru bayar ulang penipuan tpi rate bagus jangan menjelekan aplikasi sendiri udh tau lgi urgent bgt lol,1,0.8,0.7,Negative,30,aplikasi menjengkelkan bayar gaada konfirmasi langsung cht suru bayar ulang penipuan tpi rate bagus menjelekan aplikasi udh tau lgi urgent bgt lol,22,aplikasi jengkel bayar gaada konfirmasi langsung cht suru bayar ulang tipu tpi rate bagus jelek aplikasi udh tau lgi urgent bgt lol
dokter yg sabar makasih dg semuanya,5,0.0,0.0,Positive,6,dokter sabar makasih,3,dokter sabar makasih
endang sukindar responsip dokternya ramah dan menjawab semua keluhan dan saya akn mencobanya,5,0.0,0.0,Positive,13,endang sukindar responsip dokternya ramah keluhan akn mencobanya,8,endang sukindar responsip dokter ramah keluh akn coba
"penjelasan dokter bagus, dokter ramah",5,0.0,0.0,Positive,6,penjelasan dokter bagus dokter ramah,5,jelas dokter bagus dokter ramah
sangat memusakan,4,0.0,0.0,Positive,2,memusakan,1,pusa
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
dokternya baik responnya,5,0.0,0.0,Positive,3,dokternya responnya,2,dokter responnya
"gw nyeritain keluhan, lalu dokternya jawab akan saya jelaskan, udh gw tunggu kurleb setengah jam, tiba² diputusin percakapannya sama dokternya, gak amanah, gak iklas gw anjer",1,0.0,0.0,Negative,31,gw nyeritain keluhan dokternya udh gw tunggu kurleb jam tiba² diputusin percakapannya dokternya gak amanah gak iklas gw anjer,19,gw nyeritain keluh dokter udh gw tunggu kurleb jam tiba diputusin cakap dokter gak amanah gak iklas gw anjer
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
sangat jelas dalam menjelaskan,4,0.0,0.0,Positive,4,,0,
"tidak muncul keterangan/penjelasan obat dari resep dokter yg diberikan, langsung diarahkan untuk check out",3,0.0,0.0,Neutral,15,muncul keteranganpenjelasan obat resep dokter langsung diarahkan check out,9,muncul keteranganpenjelasan obat resep dokter langsung arah check out
aplikasi apa ini mau konsultasi aja berbayar begitu mahal tolong hapus aplikasi ini dari playstore gak ada manfaatnya udah berbayar dokternya selow respon hoalah,1,0.0,0.0,Negative,24,aplikasi konsultasi berbayar mahal tolong hapus aplikasi playstore gak manfaatnya udah berbayar dokternya selow respon hoalah,16,aplikasi konsultasi bayar mahal tolong hapus aplikasi playstore gak manfaat udah bayar dokter selow respon hoalah
dktrnya baik..dan responnya jg cpt . udh 2 x cht trnyta ma dktr yg sma...shat2 sllu dktr...,5,0.0,0.0,Positive,22,dktrnya baikdan responnya jg cpt udh 2 x cht trnyta ma dktr smashat2 sllu dktr,15,dktrnya baikdan responnya jg cpt udh 2 x cht trnyta ma dktr smashat2 sllu dktr
baik sangat baik,5,0.0,0.0,Positive,3,,0,
baik,5,0.0,0.0,Positive,1,,0,
luar biasa penjelasanya,5,0.0,0.0,Positive,3,penjelasanya,1,jasa
pelayanan ramah cepat memberikan solusi,5,0.0,0.0,Positive,5,pelayanan ramah cepat solusi,4,layan ramah cepat solusi
baik bagusss,5,0.0,0.0,Positive,2,bagusss,1,bagusss
"aplikasinya ga bisa dibuka sama sekali di hp saya (andro), cuma muncul tulisan alodokter latar biru doang. udh coba uninstall trs install ulang tetep aja. saya beri bintang 1 dulu, tolong dibenahi",1,0.0,0.0,Negative,38,aplikasinya ga dibuka hp andro muncul tulisan alodokter latar biru doang udh coba uninstall trs install ulang tetep bintang 1 tolong dibenahi,22,aplikasi ga buka hp andro muncul tulis alodokter latar biru doang udh coba uninstall trs install ulang tetep bintang 1 tolong benah
mahal konsul lewat online aja bayar ...,2,0.0,0.0,Negative,7,mahal konsul online bayar,4,mahal konsul online bayar
dokternya ramah,5,0.0,0.0,Positive,2,dokternya ramah,2,dokter ramah
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
j 04 48. halo sy kokoh dr nugroho setiawan teus gl 25 agst hr minggu ibu t kiem j 08 09 sm cik ayang ke gereja roxy terus jalan2 ke mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan sy kokoh bakwan,5,0.0,0.25,Positive,46,j 04 48 halo kokoh dr nugroho setiawan teus gl 25 agst hr minggu t kiem j 08 09 sm cik ayang gereja roxy jalan2 mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan kokoh bakwan,40,j 04 48 halo kokoh dr nugroho setiawan teus gl 25 agst hr minggu t kiem j 08 09 sm cik ayang gereja roxy jalan2 mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan kokoh bakwan
chat saya tidak dibalas dokter padahal saya sudah bayar biaya konsultasi.,1,0.0,0.0,Negative,12,chat dibalas dokter bayar biaya konsultasi,6,chat balas dokter bayar biaya konsultasi
sangat baik dan sopan,5,0.0,0.0,Positive,4,sopan,1,sopan
terima kasih alodokter,5,0.0,0.0,Positive,3,terima kasih alodokter,3,terima kasih alodokter
"jawaban memuaskan,, tapi slow respon mungkin karna hari minggu.",4,-0.30000000000000004,0.39999999999999997,Positive,12,memuaskan slow respon karna minggu,5,muas slow respon karna minggu
informatif,5,0.0,0.0,Positive,1,informatif,1,informatif
alodokter ini suatu aplikasi yang bagus yang sangat bermanfaat bagi kita semua yang membutuhkan konsultasi secepatnya atas sakit penyakit kita. hanya untuk penyakit dalam organ tubuh kita perlu mengunjungi dokternya agar tidak salah pengobatan.,5,0.0,0.0,Positive,36,alodokter aplikasi bagus bermanfaat membutuhkan konsultasi secepatnya sakit penyakit penyakit organ tubuh mengunjungi dokternya salah pengobatan,16,alodokter aplikasi bagus manfaat butuh konsultasi cepat sakit sakit sakit organ tubuh unjung dokter salah obat
"ramah, dan sabar menjawab pertanyaan yg lmayan bnyak",5,0.0,0.0,Positive,9,ramah sabar lmayan bnyak,4,ramah sabar lmayan bnyak
penjelasan yg baik dan mudah di pahami,4,0.0,0.0,Positive,7,penjelasan mudah pahami,3,jelas mudah paham
baik dokter ramah,2,0.0,0.0,Negative,3,dokter ramah,2,dokter ramah
sangat bermanfaat,5,0.0,0.0,Positive,2,bermanfaat,1,manfaat
untuk dokternya responnya cepet dan ramah2 hanya saja terlalu lama pengiriman obatnya sampe 5 hari padahal satu kabupaten tapi sampai 4/5 hari.,4,0.0,0.0,Positive,23,dokternya responnya cepet ramah2 pengiriman obatnya sampe 5 kabupaten 45,10,dokter responnya cepet ramah2 kirim obat sampe 5 kabupaten 45
baik dan ramah respon cepat,5,0.0,0.0,Positive,5,ramah respon cepat,3,ramah respon cepat
bagus bgtt pelayanannya,5,0.0,0.0,Positive,3,bagus bgtt pelayanannya,3,bagus bgtt layan
dokter ya baik,5,0.0,0.0,Positive,3,dokter,1,dokter
puas bisa bertanya,5,0.0,0.0,Positive,3,puas,1,puas
sangat puas dan mantap,5,0.0,0.0,Positive,4,puas mantap,2,puas mantap
lamaaaa respon,1,0.0,0.0,Negative,2,lamaaaa respon,2,lamaaaa respon
"sgt teredukasi skl, sekaligus bs mengerahui berbagai penyakit melalui pertanyaan2 tmn2 pasien . trm ksh tuhan berkati ",5,0.0,0.0,Positive,18,sgt teredukasi skl bs mengerahui penyakit pertanyaan2 tmn2 pasien trm ksh tuhan berkati,13,sgt edukasi skl bs rahu sakit pertanyaan2 tmn2 pasien trm ksh tuhan berkat
kirain gratis chat sm dokter tpi perbayaran terimakasih,1,0.0,0.0,Negative,8,kirain gratis chat sm dokter tpi perbayaran terimakasih,8,kirain gratis chat sm dokter tpi bayar terimakasih
dr marsya andriani varinza,5,0.0,0.0,Positive,4,dr marsya andriani varinza,4,dr marsya andriani varinza
"bagus skali, cpat respon, mantap",5,0.0,0.0,Positive,7,bagus skali cpat respon mantap,5,bagus skali cpat respon mantap
"parah, minta resep bukannya di kasih resep malah penjelasan panjang lebar di tungguin lama, chat di tutup. taunya resepnya ga dikasih. jadinya saya harus bayar 2x untuk chat dokter lagi,",1,0.0,0.0,Negative,35,parah resep kasih resep penjelasan lebar tungguin chat tutup taunya resepnya ga dikasih bayar 2x chat dokter,17,parah resep kasih resep jelas lebar tungguin chat tutup tau resep ga kasih bayar 2x chat dokter
masa butuh obat sekarang dikirim 2-3 hari kemudian dan tidak dpt di cancel,1,0.0,0.0,Negative,13,butuh obat dikirim 23 dpt cancel,6,butuh obat kirim 23 dpt cancel
tolong jangan ada lagi pembulian di ppds,1,0.0,0.0,Negative,7,tolong pembulian ppds,3,tolong bulian ppds
respon cepat,5,0.0,0.0,Positive,2,respon cepat,2,respon cepat
"maaf rating rendah, lebih baik tanya di internet semua jawaban tersedia, memang dokternya baik dan tanggap tp gimana ya.. bukan salah dokternya tp aplikasi berbayar ini kurang worth it... bisa jadi semua yg disarankan dokter sdh kita lakukan, kalau hanya chat saya rasa kurang pas, ujung2nya bingung mau chat apalagi karena kurang membantu, saya sarankan ke dokter langsung di kota anda masing2 lebih masuk akal... karena ujung2nya disuruh periksa ke dokter... salam sehat",2,0.3,0.1,Negative,82,maaf rating rendah internet tersedia dokternya tanggap tp gimana salah dokternya tp aplikasi berbayar worth it disarankan dokter sdh lakukan chat pas ujung2nya bingung chat membantu sarankan dokter langsung kota masing2 masuk akal ujung2nya disuruh periksa dokter salam sehat,39,maaf rating rendah internet sedia dokter tanggap tp gimana salah dokter tp aplikasi bayar worth it saran dokter sdh laku chat pas ujung2nya bingung chat bantu saran dokter langsung kota masing2 masuk akal ujung2nya suruh periksa dokter salam sehat
"sangat bermanfaat sekali atas arahan yang diberikan oleh dokter di alodokter,aplikasi ini sangat membantu bila ibu bingung apa yang harus dilakukan segera bila ada keluarga yang sakit khususnya anak-anak",5,0.0,0.0,Positive,31,bermanfaat arahan dokter alodokteraplikasi membantu bingung keluarga sakit anakanak,9,manfaat arah dokter alodokteraplikasi bantu bingung keluarga sakit anakanak
dokternya cepat tanggap,5,0.0,0.0,Positive,3,dokternya cepat tanggap,3,dokter cepat tanggap
dokter nya ramah dan penjelasannya mudah dipahami,5,0.0,0.0,Positive,7,dokter ramah penjelasannya mudah dipahami,5,dokter ramah jelas mudah paham
respon sangat cepat dan ramah dokternya baik..,5,0.0,0.0,Positive,8,respon cepat ramah dokternya,4,respon cepat ramah dokter
ksih 1 aja. kenapa.....? coba pikirkan baik2 kawan.... kita tidak di obati. tp harus bayar. obat nya hanya dgn kata2. mana bisa sembuh. hadeuhhhhh.,1,0.0,0.0,Negative,33,ksih 1 coba pikirkan baik2 kawan obati tp bayar obat dgn kata2 sembuh hadeuhhhhh,14,ksih 1 coba pikir baik2 kawan obat tp bayar obat dgn kata2 sembuh hadeuhhhhh
mkc penjelasan dokter,5,0.0,0.0,Positive,3,mkc penjelasan dokter,3,mkc jelas dokter
"respon dokter nya cepat, baik ramah, sangat membantu",5,0.0,0.0,Positive,10,respon dokter cepat ramah membantu,5,respon dokter cepat ramah bantu
"aplikasinya bagus, tapi sayang tidak bisa memberikan resep lebih banyak. dokter juga tidak bisa memberikan saran yg solutif, resep manual pun tidak diberikan. bad experience.",3,-0.6999999999999998,0.6666666666666666,Neutral,30,aplikasinya bagus sayang resep dokter saran solutif resep manual bad experience,11,aplikasi bagus sayang resep dokter saran solutif resep manual bad experience
respon yang cepat,5,0.0,0.0,Positive,3,respon cepat,2,respon cepat
"sekali pake aplikasi ini aman aman aja, trus kedua kali malah lemot bngt balasannya tp dijam balesan selang 1/2 menit, baru kekirimnya pas obrolan berakhir  udh transfer lagi malah ngulang hal yg sama disuruh kirim foto yg lagi sakit tp tombol yg buat share mana? ditulisan dokter masih mengetik disuruh tunggu hadehh keburu obrolan berakhir lagi",1,0.0,0.0,Negative,59,pake aplikasi aman aman trus kali lemot bngt balasannya tp dijam balesan selang 12 menit kekirimnya pas obrolan udh transfer ngulang disuruh kirim foto sakit tp tombol share ditulisan dokter mengetik disuruh tunggu hadehh keburu obrolan,36,pake aplikasi aman aman trus kali lot bngt balas tp jam balesan selang 12 menit kirim pas obrol udh transfer ngulang suruh kirim foto sakit tp tombol share tulis dokter etik suruh tunggu hadehh keburu obrol
good job,5,0.7,0.6000000000000001,Positive,2,good job,2,good job
"fast respon bgt di keadaan darurat,mantap dokternya.",5,0.2,0.6,Positive,10,fast respon bgt daruratmantap dokternya,5,fast respon bgt daruratmantap dokter
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
dokter yang ramah dan memberi penjelasan secara detail.,5,0.0,0.0,Positive,9,dokter ramah penjelasan detail,4,dokter ramah jelas detail
puas,5,0.0,0.0,Positive,1,puas,1,puas
bagus terang sekali,5,0.0,0.0,Positive,3,bagus terang,2,bagus terang
sampah,1,0.0,0.0,Negative,1,sampah,1,sampah
bagus bgt layanannya,5,0.0,0.0,Positive,3,bagus bgt layanannya,3,bagus bgt layan
sangat puas,5,0.0,0.0,Positive,2,puas,1,puas
ntahlah,1,0.0,0.0,Negative,1,ntahlah,1,ntahlah
dokternya sangat membantu,5,0.0,0.0,Positive,3,dokternya membantu,2,dokter bantu
"saya puas dengan jawaban dokternya,,sangat bermanfaat sekali bagi saya yg new mom",5,0.13636363636363635,0.45454545454545453,Positive,14,puas dokternyasangat bermanfaat new mom,5,puas dokternyasangat manfaat new mom
sangat membantu sekali,5,0.0,0.0,Positive,3,membantu,1,bantu
jawaban dari dokter lama banget.,1,0.0,0.0,Negative,6,dokter banget,2,dokter banget
fast respon baik ramah. trims kasih dok,5,0.2,0.6,Positive,8,fast respon ramah trims kasih dok,6,fast respon ramah trims kasih dok
sangat puas,5,0.0,0.0,Positive,2,puas,1,puas
