content,score,sentiment_label,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords,review_stem_without_stopwords
respon sangat cepat tdk sampai 2 menit. resep juga lgsg diberikan. sangat puas,5,negative,positive,15,respon cepat tdk 2 menit resep lgsg puas,8,respon cepat tdk 2 menit resep lgsg puas
bgus,4,negative,positive,1,bgus,1,bgus
puassss,5,negative,positive,1,puassss,1,puassss
"dokter baik, penjelasan memuaskan menjawab setiap pertanyaan",5,negative,positive,8,dokter penjelasan memuaskan,3,dokter jelas muas
sangat puas dgn aplikasi ini,5,negative,positive,5,puas dgn aplikasi,3,puas dgn aplikasi
oke,5,neutral,positive,1,oke,1,oke
mantap pelayanannya,5,neutral,positive,2,mantap pelayanannya,2,mantap layan
ramah dokter nya,5,negative,positive,3,ramah dokter,2,ramah dokter
sangat ramah dan cepat menangani nya,5,negative,positive,6,ramah cepat menangani,3,ramah cepat tangan
bagus dalam semua hal terutama dokternya ramah dan baik ,5,neutral,positive,9,bagus dokternya ramah,3,bagus dokter ramah
mantap,5,negative,positive,1,mantap,1,mantap
good,5,neutral,positive,1,good,1,good
sangar membantu,5,neutral,positive,2,sangar membantu,2,sangar bantu
"ini aplikasi overclaim, obat saya tidak dikirim-kirim padahal di aplikasi bilang max 1 jam!!!!, chat cs nya gaada ngebantu sama sekali orang sudah mau mati tapi tidak diantar"" akhirnya terpaksa beli di apotik!!! dasar penipuan",1,negative,negative,45,aplikasi overclaim obat dikirimkirim aplikasi bilang max 1 jam chat cs gaada ngebantu orang mati diantar terpaksa beli apotik dasar penipuan,21,aplikasi overclaim obat dikirimkirim aplikasi bilang max 1 jam chat cs gaada ngebantu orang mati antar paksa beli apotik dasar tipu
bagus sangat bermanfaat,5,negative,positive,3,bagus bermanfaat,2,bagus manfaat
puas...dokter nya ramah dan cpt respon,5,neutral,positive,8,puasdokter ramah cpt respon,4,puasdokter ramah cpt respon
baik dan banyak info juga,4,positive,positive,5,info,1,info
"sudah bayar tapi dokternya gak merespon,gak ada solusi.terus bagaimana?? kecewa si,soalnya juga sedang online dokternya.",3,neutral,neutral,22,bayar dokternya merespongak solusiterus kecewa sisoalnya online dokternya,8,bayar dokter merespongak solusiterus kecewa sisoalnya online dokter
"alhamdulillah penjelasannya cukup membantu buat saya, walaupun yg sya tanya seharus n'y ke dokter tht tpi terimakasih banyak ya bu atas informasi dan arahan n'y good job sehat selalu bu dokter ",5,neutral,positive,36,alhamdulillah penjelasannya membantu sya seharus ny dokter tht tpi terimakasih bu informasi arahan ny good job sehat bu dokter,19,alhamdulillah jelas bantu sya harus ny dokter tht tpi terimakasih bu informasi arah ny good job sehat bu dokter
sangat membantu,5,negative,positive,2,membantu,1,bantu
halo dok mau nanya apakah kalau telat haid kisaran 2 apa 3 mingguan tapi belum d tespek apa boleh berhubungan intim dok takut ngaruh gmana gtu dok mohon arahan nya,5,negative,positive,30,halo nanya telat haid kisaran 2 3 mingguan d tespek berhubungan intim takut ngaruh gmana gtu mohon arahan,18,halo nanya telat haid kisar 2 3 minggu d tespek hubung intim takut ngaruh gmana gtu mohon arah
terimakasih dokter cantik. dokter rama aku suka.,5,neutral,positive,9,terimakasih dokter cantik dokter rama suka,6,terimakasih dokter cantik dokter rama suka
assalamualikum kenapa saya sudah donlod aplikasi alodokter katanya tidak menerima akses saya,2,neutral,negative,12,assalamualikum donlod aplikasi alodokter menerima akses,6,assalamualikum donlod aplikasi alodokter terima akses
responsif ,5,neutral,positive,1,responsif,1,responsif
"terimakasih penjelasan nya bu dokter, sehat trs & sukses trs buat ibu dokter ya",5,neutral,positive,15,terimakasih penjelasan bu dokter sehat trs sukses trs dokter,9,terimakasih jelas bu dokter sehat trs sukses trs dokter
respon kurang cepat,1,neutral,negative,3,respon cepat,2,respon cepat
"alodokter tempat berobat dan konsultasi secara online ,selalu dipercaya sebagaimana berobat di rumah sakit",5,positive,positive,15,alodokter berobat konsultasi online dipercaya berobat rumah sakit,8,alodokter obat konsultasi online percaya obat rumah sakit
bagus bngt saranya cocok untuk ibu hamil trima kasih dokter,5,positive,positive,10,bagus bngt saranya cocok hamil trima kasih dokter,8,bagus bngt sara cocok hamil trima kasih dokter
responnya cepat dan mudah dimengerti,5,neutral,positive,5,responnya cepat mudah dimengerti,4,responnya cepat mudah erti
respon dokter lama. kebanyakan pertanyaan nya template. ga real seperti konsultasi dokter dan pasien. pertanyaan sdh dijawab ketika membalas nya lama. not recomended. untungnya pake admedika. kalo pembayaran pribadi pasti sangat merugikan,1,negative,negative,38,respon dokter kebanyakan template real konsultasi dokter pasien sdh membalas not recomended untungnya pake admedika kalo pembayaran pribadi merugikan,19,respon dokter banyak template real konsultasi dokter pasien sdh balas not recomended untung pake admedika kalo bayar pribadi rugi
respon sangat cepat,5,neutral,positive,3,respon cepat,2,respon cepat
good,5,neutral,positive,1,good,1,good
dokternya ramah,5,negative,positive,2,dokternya ramah,2,dokter ramah
sangat membantu dan memudahkan,5,positive,positive,4,membantu memudahkan,2,bantu mudah
dokter yang ramah baik dan menjelaskan secara detail dan sangat jelas,5,positive,positive,11,dokter ramah detail,3,dokter ramah detail
"blm tau se worth it apa, soalnya baru nyoba dann daftar masuk apk nya aja susahh bangettt mau no otp nya kaga kekirim"" udh nyoba ampe 5x",2,positive,negative,29,blm tau worth it nyoba dann daftar masuk apk susahh bangettt no otp kaga kekirim udh nyoba ampe 5x,19,blm tau worth it nyoba dann daftar masuk apk susahh bangettt no otp kaga kirim udh nyoba ampe 5x
"dokter yg bijaksana, puas curhatnya",5,negative,positive,6,dokter bijaksana puas curhatnya,4,dokter bijaksana puas curhatnya
sangat membantu,5,negative,positive,2,membantu,1,bantu
baik dan memuaskan,5,neutral,positive,3,memuaskan,1,muas
puas baik dan responsip,5,neutral,positive,4,puas responsip,2,puas responsip
bgus,5,negative,positive,1,bgus,1,bgus
nunggu sampai 30 menit tidak di jawab sama dokter risna safitri,1,neutral,negative,11,nunggu 30 menit dokter risna safitri,6,nunggu 30 menit dokter risna safitri
sangat membantu dikala membutuhkan,5,neutral,positive,4,membantu dikala membutuhkan,3,bantu kala butuh
respon dokter sangat baik dan mudah dipahami..,5,neutral,positive,8,respon dokter mudah dipahami,4,respon dokter mudah paham
teliti sekali dokternya,5,negative,positive,3,teliti dokternya,2,teliti dokter
dokter responsif.. penjelasannya mudah dipahami. trimakasih,5,negative,positive,8,dokter responsif penjelasannya mudah dipahami trimakasih,6,dokter responsif jelas mudah paham trimakasih
"dr rahmat risky, terima kasih pak",5,negative,positive,7,rahmat risky terima kasih,4,rahmat risky terima kasih
"dokter y baik,penjelasan rinci dan sabar utk balas chat,pertnyaan dijawab dgn seksama dan maksimal..trmksh dokter ..sehat sllu",5,positive,positive,24,dokter y baikpenjelasan rinci sabar utk balas chatpertnyaan dgn seksama maksimaltrmksh dokter sehat sllu,14,dokter y baikpenjelasan rinci sabar utk balas chatpertnyaan dgn seksama maksimaltrmksh dokter sehat sllu
bagus,5,neutral,positive,1,bagus,1,bagus
aaah serba perbayar,1,negative,negative,3,aaah serba perbayar,3,aaah serba bayar
"sangat detail,,respon cepat,,makasih dokk",5,negative,positive,8,detailrespon cepatmakasih dokk,3,detailrespon cepatmakasih dokk
"tanggap, cepat sangat membantu",5,negative,positive,5,tanggap cepat membantu,3,tanggap cepat bantu
maksih dok,5,neutral,positive,2,maksih,1,maksih
"dr nya ramah sabar njelaskan nya,trimakasih dr terus sukses",5,neutral,positive,11,ramah sabar njelaskan nyatrimakasih sukses,5,ramah sabar njelaskan nyatrimakasih sukses
dokter sangatbramah dan rinci,5,negative,positive,4,dokter sangatbramah rinci,3,dokter sangatbramah rinci
"jadwal dokter sama yg di aplikasi beda, mana refundnya lama",2,positive,negative,11,jadwal dokter aplikasi beda refundnya,5,jadwal dokter aplikasi beda refundnya
respon cepat dan dokter ramah,5,negative,positive,5,respon cepat dokter ramah,4,respon cepat dokter ramah
cepat penangananya,5,negative,positive,2,cepat penangananya,2,cepat penangananya
"keren banget sih, bisa langsung konsul ke dokter spesialis, respon juga cepat, dan bermanfaat banget untuk ibu baru seperti saya",5,neutral,positive,23,keren sih langsung konsul dokter spesialis respon cepat bermanfaat,9,keren sih langsung konsul dokter spesialis respon cepat manfaat
dokter nya sngat baik dan sangat mebantu,5,negative,positive,7,dokter sngat mebantu,3,dokter sngat mebantu
good,5,neutral,positive,1,good,1,good
respon dokternya bagus,5,neutral,positive,3,respon dokternya bagus,3,respon dokter bagus
verifikasi no hp dah d isi malah nyangkut,1,positive,negative,8,verifikasi no hp dah d isi nyangkut,7,verifikasi no hp dah d isi nyangkut
"trmksih dokter,,dokternya ramah,,dan mau menunggu keluh kesah saya",5,negative,positive,12,trmksih dokterdokternya ramahdan menunggu keluh kesah,6,trmksih dokterdokternya ramahdan tunggu keluh kesah
terimakasih dokter untuk penjelasannya,5,negative,positive,4,terimakasih dokter penjelasannya,3,terimakasih dokter jelas
"semoga anak saya cepat sembuh dan bersih lg kulit nya, terimakasih dokter.",5,positive,positive,14,semoga anak cepat sembuh bersih lg kulit terimakasih dokter,9,moga anak cepat sembuh bersih lg kulit terimakasih dokter
puas..sngt mmbantu,5,negative,positive,4,puassngt mmbantu,2,puassngt mmbantu
good,5,neutral,positive,1,good,1,good
trm ksh dokter... luar biasa penjelasan nya,5,neutral,positive,8,trm ksh dokter penjelasan,4,trm ksh dokter jelas
sangat membantu..,5,neutral,positive,3,membantu,1,bantu
sangat membantu,5,negative,positive,2,membantu,1,bantu
luar biasa dok penjelasannya,5,negative,positive,4,penjelasannya,1,jelas
mantap,5,negative,positive,1,mantap,1,mantap
respon cepat dokternya baik,5,positive,positive,4,respon cepat dokternya,3,respon cepat dokter
sangat membantu dalam pertanyaan kita sebagai pasian,5,neutral,positive,7,membantu pasian,2,bantu pasi
dokternya ramah dan jelas,5,negative,positive,4,dokternya ramah,2,dokter ramah
"cepat, tegas, ringkas.. terima kasih",5,positive,positive,8,cepat ringkas terima kasih,4,cepat ringkas terima kasih
"diluar dari apk nya yang sudah cukup bagus tampilan dan fiturnya. saya ingin memberi ulasan pada pelayanan dokter umum, untuk waktu respon nya 1 jam kemudian setelah saya bertanya, dan ketika saya tahu sudah dijawab setelah 10 menit dijawab, jadi pembicaraan sudah ditutup. kecewa.",2,negative,negative,50,diluar apk bagus tampilan fiturnya ulasan pelayanan dokter respon 1 jam 10 menit pembicaraan ditutup kecewa,16,luar apk bagus tampil fiturnya ulas layan dokter respon 1 jam 10 menit bicara tutup kecewa
"baik banget,dan ramah",5,neutral,positive,5,bangetdan ramah,2,bangetdan ramah
"respon lama, nngu gak jawab2 akhir ny tinggal ngerjain sesuatu dlu bgtu lihat hp udh di bales dokternya tapi kasi kita waktu buat bales ke dokter nya lagi cm sbntr, kita blm konfirmasi untuk okein ttup sesi, tapi di ttup otomatis sama aplikasi nya, jadi nya udh bayar sia2 gak dpet apa2",1,negative,negative,56,respon nngu jawab2 ny tinggal ngerjain dlu bgtu lihat hp udh bales dokternya kasi bales dokter cm sbntr blm konfirmasi okein ttup sesi ttup otomatis aplikasi udh bayar sia2 dpet apa2,31,respon nngu jawab2 ny tinggal ngerjain dlu bgtu lihat hp udh bales dokter kasi bales dokter cm sbntr blm konfirmasi okein ttup sesi ttup otomatis aplikasi udh bayar sia2 dpet apa2
bagus cepat,5,neutral,positive,2,bagus cepat,2,bagus cepat
"dokternya ramah dan cepat dalm menjawab konsultasi pasien, namun utuk pemesanan resep obat via online lambat dan saya merasa kecewa karna mnunggu sangat lama obat yng d pesan gk sampai"".sya berharap kejadian sprti ini tidak terulang kembali",2,negative,negative,40,dokternya ramah cepat dalm konsultasi pasien utuk pemesanan resep obat via online lambat kecewa karna mnunggu obat yng d pesan gk sampaisya berharap kejadian sprti terulang,26,dokter ramah cepat dalm konsultasi pasien utuk mesan resep obat via online lambat kecewa karna mnunggu obat yng d pesan gk sampaisya harap jadi sprti ulang
penjelasan sangat detail dan dokternya ramah good joob,5,positive,positive,8,penjelasan detail dokternya ramah good joob,6,jelas detail dokter ramah good joob
ingin tahu tentang kedokteran,5,neutral,positive,4,kedokteran,1,dokter
sangat rinci,4,negative,positive,2,rinci,1,rinci
"sudah bayar, aplikasi gabisa dibuka ini kenapa dah??",3,positive,neutral,11,bayar aplikasi gabisa dibuka dah,5,bayar aplikasi gabisa buka dah
sangat membantu,5,negative,positive,2,membantu,1,bantu
"responnya lama banget, chat 45 menit tidak beres, nunggu balas dari dokternya 15 menit belum lagi sekali chat balasnya lama poll dulu alodokter tidak seperti ini tolong di perbaiki sistemnya",3,positive,neutral,32,responnya chat 45 menit beres nunggu balas dokternya 15 menit chat balasnya poll alodokter tolong perbaiki sistemnya,17,responnya chat 45 menit beres nunggu balas dokter 15 menit chat balas poll alodokter tolong baik sistem
saya sudah bayar ko belum ada jawabannya dan mau chat lagi disuruh bayar lagi ???,1,neutral,negative,17,bayar ko jawabannya chat disuruh bayar,6,bayar ko jawab chat suruh bayar
paket obat nya lama banget. udah 12 hari masih belum sampai,1,neutral,negative,12,paket obat 12,3,paket obat 12
sangat puas,5,neutral,positive,2,puas,1,puas
terima kasih,5,neutral,positive,2,terima kasih,2,terima kasih
sangat ramah dan membantu sekali,5,negative,positive,5,ramah membantu,2,ramah bantu
"respon dokter lama, disuruh tunggu 9 menit tp nyatanya 1 jam. minta refund banyak alasannya pdhl org lg skt disuruh nunggu lama",1,positive,negative,24,respon dokter disuruh tunggu 9 menit tp 1 jam refund alasannya pdhl org lg skt disuruh nunggu,17,respon dokter suruh tunggu 9 menit tp 1 jam refund alas pdhl org lg skt suruh nunggu
kok saya udah masukan nomor hp udah dapet kode ga masuk masuk ya padahal udah saya masukan kodenya tpi gada apapa cuman ada verivikasi otp doang sama kodenya,3,negative,neutral,28,masukan nomor hp dapet kode masuk masuk masukan kodenya tpi gada apapa cuman verivikasi otp doang kodenya,17,masuk nomor hp dapet kode masuk masuk masuk kode tpi gada apapa cuman verivikasi otp doang kode
"underrated bayar mahal² gaada jawaban. kenapa harus lolos verification google play sih, sama aja scam ini",1,positive,negative,18,underrated bayar mahal² gaada lolos verification google play sih scam,10,underrated bayar mahal gaada lolos verification google play sih scam
ingin konsul tpi tdk ada aplikasi dana jdi tdk bisa konsultasi karna sy hanya punya aplikasi dana,3,neutral,neutral,17,konsul tpi tdk aplikasi dana jdi tdk konsultasi karna sy aplikasi dana,12,konsul tpi tdk aplikasi dana jdi tdk konsultasi karna sy aplikasi dana
sangat membantu,3,negative,neutral,2,membantu,1,bantu
"penjelasannya sangat membantu,, semoga saya bisa menjadi lebh tenang setlh ini.",5,neutral,positive,14,penjelasannya membantu semoga lebh tenang setlh,6,jelas bantu moga lebh tenang setlh
"apaan..barusan chat ,katanya disuruh tunggu 8 menit. lah ini lama banget ,udah set.jam dan gak dijawab2 pdhl udah bayar juga. komplen ke customer service malah gak ada jawaban. jangan download aplikasi ini, jelek banget",1,negative,negative,42,apaanbarusan chat disuruh tunggu 8 menit setjam dijawab2 pdhl bayar komplen customer service download aplikasi jelek,16,apaanbarusan chat suruh tunggu 8 menit setjam dijawab2 pdhl bayar komplen customer service download aplikasi jelek
puas,5,negative,positive,1,puas,1,puas
baguss,5,neutral,positive,1,baguss,1,baguss
sangat membantu sekali untuk tes cpns,5,neutral,positive,6,membantu tes cpns,3,bantu tes cpns
terimakasih banyak untuk solusi nya ,5,neutral,positive,5,terimakasih solusi,2,terimakasih solusi
good,5,neutral,positive,1,good,1,good
"beli obat lewat aplikasi alodokter , berhubung di apoteknya gak ada di aliran manual beli di apotek k24 ternyata harga di aplikasi alodokter sama k24 berbeda jauh separuh harga. gue rugiiiiiii dari 51 ribuan jadi 27 ribuan....",1,positive,negative,39,beli obat aplikasi alodokter berhubung apoteknya aliran manual beli apotek k24 harga aplikasi alodokter k24 berbeda separuh harga gue rugiiiiiii 51 ribuan 27 ribuan,24,beli obat aplikasi alodokter hubung apotek alir manual beli apotek k24 harga aplikasi alodokter k24 beda paruh harga gue rugiiiiiii 51 ribu 27 ribu
jelek pelayanan nya lambat bangettt,1,negative,negative,5,jelek pelayanan lambat bangettt,4,jelek layan lambat bangettt
aplikasi lamban jadi jawaban dokter lama masuk,3,neutral,neutral,7,aplikasi lamban dokter masuk,4,aplikasi lamban dokter masuk
dokternya kompeten dan fast response,5,neutral,positive,5,dokternya kompeten fast response,4,dokter kompeten fast response
"dr. tania maulani, sp.m lama sekali dia respon bagian mata. saya kan member uang di potong perbulan dari alodokter. tapi dikecewakan begini",1,positive,negative,25,tania maulani spm respon mata member uang potong perbulan alodokter dikecewakan,11,tania maulani spm respon mata member uang potong bulan alodokter kecewa
"mengecewakan saya chat dg spkk, berbayar, tapi 30 menit tidak efektif. chat tidak masuk² meskipun sudah di refresh. alhasil tidak ada solusi dr dokter.",1,neutral,negative,29,mengecewakan chat dg spkk berbayar 30 menit efektif chat masuk² refresh alhasil solusi dokter,14,kecewa chat dg spkk bayar 30 menit efektif chat masuk refresh alhasil solusi dokter
dokterna baik n tanggap,5,neutral,positive,4,dokterna n tanggap,3,dokterna n tanggap
baik dan sabar serta menyenangkan,4,neutral,positive,5,sabar menyenangkan,2,sabar senang
dokternya sangat clear menjelaskan dan menjawab pertanyaan saya.,5,negative,positive,9,dokternya clear,2,dokter clear
good,5,neutral,positive,1,good,1,good
bagussss,5,neutral,positive,1,bagussss,1,bagussss
sangat membantu dokternya ramah terimakasih dokter,5,neutral,positive,6,membantu dokternya ramah terimakasih dokter,5,bantu dokter ramah terimakasih dokter
mau tanya keluhan bola mata pasca kecelakaan pandangan ganda,4,negative,positive,9,keluhan bola mata pasca kecelakaan pandangan ganda,7,keluh bola mata pasca celaka pandang ganda
"dokternya baik, informasi yang diberikan jelas, sangat membantu.",5,neutral,positive,11,dokternya informasi membantu,3,dokter informasi bantu
cepat respon dan penjelasan detail,5,negative,positive,5,cepat respon penjelasan detail,4,cepat respon jelas detail
"aplikasi brengsek. orang lagi sakit malah pesen obat dibatalkan melulu. chat apotek k24 kemanggisan katanya yg batalin aplikasi alodokter, chat alodokter katanya yang batalin apoteknya",1,negative,negative,28,aplikasi brengsek orang sakit pesen obat dibatalkan melulu chat apotek k24 kemanggisan batalin aplikasi alodokter chat alodokter batalin apoteknya,19,aplikasi brengsek orang sakit sen obat batal melulu chat apotek k24 manggis batalin aplikasi alodokter chat alodokter batalin apotek
makin lemot,1,neutral,negative,2,lemot,1,lot
"dokternya ramah,penjelasannya mudah dimengerti sangat menbantu sekali",5,positive,positive,9,dokternya ramahpenjelasannya mudah dimengerti menbantu,5,dokter ramahpenjelasannya mudah erti menbantu
awesome penjelasan sangat detail,5,neutral,positive,4,awesome penjelasan detail,3,awesome jelas detail
pelayanannya pendaftaran memuaskan,5,negative,positive,3,pelayanannya pendaftaran memuaskan,3,layan daftar muas
pernah pakai dan puas,5,neutral,positive,4,pakai puas,2,pakai puas
dokternya sangat sabar dan baik,5,neutral,positive,5,dokternya sabar,2,dokter sabar
mantap,5,negative,positive,1,mantap,1,mantap
sangat ramah dan mudah dipahami penjelasan nya,5,neutral,positive,7,ramah mudah dipahami penjelasan,4,ramah mudah paham jelas
terima kasih. respon dokter nya sangat cepat,5,neutral,positive,8,terima kasih respon dokter cepat,5,terima kasih respon dokter cepat
"cepat tanggap, dr baik n sangat membantu,smoga obtnya cocok",5,neutral,positive,12,cepat tanggap n membantusmoga obtnya cocok,6,cepat tanggap n membantusmoga obtnya cocok
"customer services kurang membantu, lama prosesnya cuman via wa, tidak bisa protes kalau barang yang dikirim salah. harga dan kuantitas yang tercantum di aplikasi tidak sesuai dengan jumlah barang yang di dapat saat sampai di rumah (harusnya 24 ribu dapat 2 pcs, malah cuman satu yang dikirim). kalau ngajuin pembatalan terkait janji cek kesehatan susah, prosesnya lama. tidak bisa kasih catatan juga buat apotek kalau mau kasih notes saat beli barang",2,neutral,negative,80,customer services membantu prosesnya cuman via wa protes barang dikirim salah harga kuantitas tercantum aplikasi sesuai barang rumah 24 ribu 2 pcs cuman dikirim ngajuin pembatalan terkait janji cek kesehatan susah prosesnya kasih catatan apotek kasih notes beli barang,39,customer services bantu proses cuman via wa protes barang kirim salah harga kuantitas cantum aplikasi sesuai barang rumah 24 ribu 2 pcs cuman kirim ngajuin batal kait janji cek sehat susah proses kasih catat apotek kasih notes beli barang
"respon sangat cepat sekali serta penjelasannya detail mudah dimengerti, trimaksih dok ",5,neutral,positive,12,respon cepat penjelasannya detail mudah dimengerti trimaksih,7,respon cepat jelas detail mudah erti trimaksih
"chat dokter spesialis berbayar tapi jawabannya satu dua patah kata, sangat tidak memuaskan, mending cari rujukan bpjs. masih lebih baik pelayanan tatap muka bpjs daripada bayar 45.000 , pelit jawaban.",1,neutral,negative,34,chat dokter spesialis berbayar jawabannya patah memuaskan mending cari rujukan bpjs pelayanan tatap muka bpjs bayar 45000 pelit,18,chat dokter spesialis bayar jawab patah muas mending cari rujuk bpjs layan tatap muka bpjs bayar 45000 pelit
"chat kaya template, dijelasin gimanya keadaan, dibaca tok, notifnya dokter sedang menganalisis masalahmu, tapu luamaaaa setengah jam lebih tiba2 endchat, percuma bayar ga ada hasil apa2!",1,neutral,negative,32,chat kaya template dijelasin gimanya dibaca tok notifnya dokter menganalisis masalahmu tapu luamaaaa jam tiba2 endchat bayar hasil apa2,19,chat kaya template dijelasin gimanya baca tok notifnya dokter analis masalah tapu luamaaaa jam tiba2 endchat bayar hasil apa2
"kapan indonesia maju, kalau chat dengan dokter aja berbayar, sedangkan chat di aplikasi biru gratis, padahal cuma nanya masalah seputar penyakit....",1,positive,negative,25,indonesia maju chat dokter berbayar chat aplikasi biru gratis nanya seputar penyakit,12,indonesia maju chat dokter bayar chat aplikasi biru gratis nanya putar sakit
gara gara 1 dokter pelayanan nya ga bagus . belum beres diagnosa dan blm dpt resep obat tapi chat sudah di akhir secara sebelah pihak . mau di refund proses nya 14 hari kerja .kelamaan ..,2,negative,negative,36,gara gara 1 dokter pelayanan bagus beres diagnosa blm dpt resep obat chat sebelah refund proses 14 kerja,18,gara gara 1 dokter layan bagus beres diagnosa blm dpt resep obat chat belah refund proses 14 kerja
sangat berguna,5,neutral,positive,2,berguna,1,guna
siiip mantap,5,positive,positive,2,siiip mantap,2,siiip mantap
"ramah,baik,sopan",5,positive,positive,5,ramahbaiksopan,1,ramahbaiksopan
memuaskan,4,negative,positive,1,memuaskan,1,muas
respon yang sangat baik,5,positive,positive,4,respon,1,respon
penjelasan cukup memuaskan,4,neutral,positive,3,penjelasan memuaskan,2,jelas muas
terbaik,5,neutral,positive,1,terbaik,1,baik
gak usah instal. mending ke dokter yg bersangkutan saja secara langsung. konsul di sini buang2 uang. ujung2 harus datang ke dokter langsung. karna yg di kasih dokter sini cuma teori yg bejibun di google. menyesal sy keluar uang utk konsul di dokter sini. buang2 uang saja.,1,negative,negative,53,instal mending dokter bersangkutan langsung konsul buang2 uang ujung2 dokter langsung karna kasih dokter teori bejibun google menyesal sy uang utk konsul dokter buang2 uang,25,instal mending dokter sangkut langsung konsul buang2 uang ujung2 dokter langsung karna kasih dokter teori bejibun google sesal sy uang utk konsul dokter buang2 uang
ini sangat bagus,5,negative,positive,3,bagus,1,bagus
membantu,5,negative,positive,1,membantu,1,bantu
dokternya sangat baik..informatif dan sangat memberkatiiii..,5,negative,positive,9,dokternya baikinformatif memberkatiiii,3,dokter baikinformatif memberkatiiii
dokternya lama jawabnya terus baru jawab chatnya langsung tertutup,1,positive,negative,9,dokternya chatnya langsung tertutup,4,dokter chatnya langsung tutup
sangat memuaskan,5,negative,positive,2,memuaskan,1,muas
baik cepat respon mksh dok..,5,negative,positive,6,cepat respon mksh,3,cepat respon mksh
dokter nya ramah,5,neutral,positive,3,dokter ramah,2,dokter ramah
"gak bisa login, mentok sampe masukin email",1,neutral,negative,8,login mentok sampe masukin email,5,login mentok sampe masukin email
mudah²an cocok dengan obatnya,4,negative,positive,4,mudah²an cocok obatnya,3,mudah an cocok obat
layanan baik,4,neutral,positive,2,layanan,1,layan
fast respon,5,neutral,positive,2,fast respon,2,fast respon
ku kira gratis rupanya prabayar ,1,negative,negative,5,ku gratis prabayar,3,ku gratis prabayar
