content,score,sentiment_label,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords
alodokter ini suatu aplikasi yang bagus yang sangat bermanfaat bagi kita semua yang membutuhkan konsultasi secepatnya atas sakit penyakit kita. hanya untuk penyakit dalam organ tubuh kita perlu mengunjungi dokternya agar tidak salah pengobatan.,5,positive,positive,36,alodokter aplikasi bagus bermanfaat membutuhkan konsultasi secepatnya sakit penyakit penyakit organ tubuh mengunjungi dokternya salah pengobatan,16
"ramah, dan sabar menjawab pertanyaan yg lmayan bnyak",5,negative,positive,9,ramah sabar lmayan bnyak,4
penjelasan yg baik dan mudah di pahami,4,positive,positive,7,penjelasan mudah pahami,3
baik dokter ramah,2,neutral,negative,3,dokter ramah,2
sangat bermanfaat,5,negative,positive,2,bermanfaat,1
untuk dokternya responnya cepet dan ramah2 hanya saja terlalu lama pengiriman obatnya sampe 5 hari padahal satu kabupaten tapi sampai 4/5 hari.,4,positive,positive,23,dokternya responnya cepet ramah2 pengiriman obatnya sampe 5 kabupaten 45,10
baik dan ramah respon cepat,5,negative,positive,5,ramah respon cepat,3
bagus bgtt pelayanannya,5,negative,positive,3,bagus bgtt pelayanannya,3
dokter ya baik,5,positive,positive,3,dokter,1
puas bisa bertanya,5,neutral,positive,3,puas,1
sangat puas dan mantap,5,neutral,positive,4,puas mantap,2
lamaaaa respon,1,neutral,negative,2,lamaaaa respon,2
"sgt teredukasi skl, sekaligus bs mengerahui berbagai penyakit melalui pertanyaan2 tmn2 pasien . trm ksh tuhan berkati ",5,neutral,positive,18,sgt teredukasi skl bs mengerahui penyakit pertanyaan2 tmn2 pasien trm ksh tuhan berkati,13
kirain gratis chat sm dokter tpi perbayaran terimakasih,1,neutral,negative,8,kirain gratis chat sm dokter tpi perbayaran terimakasih,8
dr marsya andriani varinza,5,negative,positive,4,marsya andriani varinza,3
"bagus skali, cpat respon, mantap",5,positive,positive,7,bagus skali cpat respon mantap,5
"parah, minta resep bukannya di kasih resep malah penjelasan panjang lebar di tungguin lama, chat di tutup. taunya resepnya ga dikasih. jadinya saya harus bayar 2x untuk chat dokter lagi,",1,negative,negative,35,parah resep kasih resep penjelasan lebar tungguin chat tutup taunya resepnya dikasih bayar 2x chat dokter,16
