content,predicted_label
"alhamdulillah dri apk ini saya mendapatkan info sedikit demi sedikit tentang peyakit saya,, trimakasi bayak",0
sangat membantu,0
sangat mmbantu,0
terimakasih dok atas sarannya dan masukannya semoga bermanfaat,0
ini sangn bagus,1
saya sangat mengapresiasi respon dokter yg dengan cepat menjawab,0
membantu sekali,0
good app,1
baru saja dpt telfon dgn no pribadi mengatas namakan alodokter dengan bilang dpt 2 jt padahal udah ngga pake aplikasi nya masih kena terror telfon terus,2
responnya cepat,0
terimakasih kepada dokter ruth atas penjelasannya dan resep obatnya sangat membantu sekali.,0
sangat membantu menjawab pertanyaan seputar kesehatan,0
i love,1
bagus,1
bagus sih cepat tanggap dokternya @,0
nice,1
sangat membantu,0
aplikasinya bagus dan sangat membantu terimakasih alodokter,0
excellent apps,1
semoga bermanfaat. amin,0
"aplikasi yang sangat bermanfaat di sast skrg, ga harus keluar rumah tapi bisa konsultasi kapanpun dan dimanapun , sungguh sangat membantu !!! makasih alodokter",0
"konsultasi tentang sakit ibu saya kata dokternya kemungkinan terpapar covid sudah diresepkan obat dan sudah di tebus tapi sudah 3 hari statusnya belum di proses trus padahal sudah di bayar, tolong bantuannya ",2
gak bagus untuk digunakan. aplikasi ini hanya ingin memeras uang anda. setelah pembayaran berhasil aplikasi menutupnya!!!! pencuri,2
padahal dokter aktif tapi di chat gak di balas,1
sangt membantu tidak memakan waktu,1
godd,0
sangat membantu,0
membantu sekali,0
saya sangat terbantu bisa bertanya dengan dokter di aplikasi alo dokter setidak nya mengurangi rasa ke khawatiran saya,0
aplikasi yg sangat membantu trimakasih untk resep ny dok,0
ok,1
"hallo dokter, telapak kaki kanan saya menebal, mati rasa, spt dibius, kadang ""sengkring2""spt di tusuk2 jarum,apa minum meloxicam bisa sembuh?1 hari brp kali? apa ini bukan sakit syaraf? sedang meloxicam utk sendi ya? trimakasih sebelumnya",2
terimakasih,1
sangat membantu loh dokter²nya ^^,0
sangat sempurna,1
okee,0
"mon maap yaa bintang satu.. marketing nakal, data dbuat bocor... baca keluhan pemakai.. kalian perbaiki ini. sorry saya gabakal pakai lagi....",2
cukup membantu,0
oke,1
good,0
solusi cepat disaat sakit,0
membantu dlm berkonsultasi terhadap dokter dgn cepat tanpa harus antri,0
"alodokter sangat membantu saya utk konsultasi ttg kesehatan,dokter²nya ramah dan baik,trmaksih alodokter",0
"sangat membantu, minimal kita bisa konsultasi lebih awal.",0
"buat kalian kalo di telpon sama marketing alodok dengan iming2 dapet voucher 2jt (dbd) dan kali di minta alamat, ttl dan nomer rekening, hati2 tanpa kalian tahu itu autodebit, tau2 saldo kalian berkurang.",2
sangat membantu sekali,0
goodd..,0
susah banget buat chat dokter di saat mereka offline. seharusnya app bisa juga ada fitur buat konsultasi ke dokter walaupun mereka lagi offline. ketika mereka online kan bisa baca pesan masuk dari pasiennya.,2
makasih untuk aladokter aku kasik bintang 5,2
bagus banget,0
baik sekali,0
"tidak jelas, penjelasan juga tidak lengkap tidak ada solusi untuk penyakit yg diderita",0
top,1
ok,1
sangat membantu,0
responnya bagus dan ramah.,0
bermanfaat bangtt,0
mant,1
baguss,1
pribadi sy...sy senang banget dpt aplikasi chat alodokter...bisa bertanya keluhan yg sy alami...,0
bagus sekali,1
alhamdulillah bisa di mengerti,1
terima kasih y dok sangat membantu sekali dan semoga rejeki nya lancar amien...,0
sangat membantu,0
sangat membantu,0
"respons lama, setelah chat sm asisten dokter, mau chat sm dokter ny langsung di bales ny lama banget. kata ny cepat respon tp nyata ny ngga.",2
"sangat singkat sekali percakapannya, setelah dijawab masih belum puas sdh diminta tekan terima kasih aja. jadi masih ada pertanyaan yg mengganjal",0
aplikasi good. sangat puaass.. bisa lebih tau apa yang harus dilakukan sebelum bertindak,0
luar biasa,0
mantap membantu di waktu sibuk kerja,1
mantap,0
alhamdulillah drespon cepat. tks byk alodoc..;),0
"mantep lah saat2 covid bagi yang worry ke rs, bisa konsultasi online dgn harga terjangkau",2
memudahkan kita untuk mengetahui sebelum pergi ke dokter atau bidan,1
pengetahuan lebih dalam,1
"ditelpon marketing katanya dari alodokter diberi penjelasan tentang pemakaian aplikasi ini,tapi bersifat memaksa karena perbulan harus membayar 39000 dipakai atau tidak tetap membayar 39000,dijaman seperti sekarang orang seperti saya yg terdampak uang segitu sangat berharga padahal tadinya hanya memakai yg gratis,maaf bila saya uninstall aplikasi ini",2
bgus,0
sy barusan di telfon bingung diri alodokter jdi bantuan uang tunai 2jt selama 1 thn bnr/ nga,2
bagus lah intinya membantu bangetttttt,2
sangat bagus dan membantu,0
good,0
"lebih worth konsul diklikdokter dibandingkan harus antri ke puskesmas, disini udah bisa tebus resep + dianter juga obatnya",2
"bantu kami dokter,",0
"aplikasinya bagus bisa konsultasi secara online namun harus berbayar, saran saya sebaiknya sediakan fitur non bayar agar pengguna lebih terbantu terutama yang memiliki keuangan yg rendah terima kasih ",2
sangat membantu,0
terbaik dokterku,1
ini kenapa ditelpon mulu,1
aslmkm dokter yg baik hati sy hj dasni.k umur 70 thn sy baru selesaì insoman 1 bln yg lalu alhamdulillah udah mli sehat tidur enak mkn udah mau akan tetapi masih mincul batuk2 hidung gatal2 . mhn saran dokter lamgkah apa yg hrs du lakukan dokter?? saya mohon saran2 dari dòter obat apa yg hrs komsusi trm kasih wassalam,2
"data bocor, hati2 ada telp dari penipu ngaku2 dari alodokter. kebocoran nomor hp dan email. selebihnya membantu..",2
"menurut saya sih lebih baik di gratiskan saja, karena kasian sama rakyat yang sakit mau tanya dokter di apk ini gak mampu buat bayar",2
aplikasi terbaik,1
respon cepat,1
terbaik sangat amat membantu ,0
sempurna,1
sangat membantu,0
"sampai saat ini uang saya belum di kembalikan, padahal janjinya 5 hari kerja ini sudah sampai 1 bulan, pada tidur yaa, kecewa sekali",2
"selamat siang dok ,makanan apa saja yg gak boleh di makan sm pendrta asam lambung dan buah2an apa saja yg boleh?...",0
oke sangat membantu,0
sedikt lebih sangat membantu terhadap keluhan. saya tdk ksih bintang 5 krna tolong pikirkan org yg tdk punya utk membayar chat dokter. sarankan lebih bnyk gratis kan hanya chat.,0
"terima kasih alodokter, aplikasi yang sangat membantu",0
wuh ribet lagi miskin sama penyakit malah ketemu apk kayak gini anj lah kntollll,2
sangat cepat respon nya,0
"sangat membantu.., dokter nya juga ramah.",0
bagus,1
bagus pertanyaan-pertanyaannya,0
sangat membantu,0
sangatt membantu,0
terimakasih buat aplikasi ini sangat membantu,1
knph sya ditelpon marketing aldokter padahal saya sudah ga sangkut paut sama aplikasi ini dan saya juga harus membayar perbulan nya 39 ribu buat apah saya bayar kan saya ga gunain aplikasi nyah mohon dong keterangan nyh klo mau cari uang ituh hrus yg jujur yahsaya juga di paksa suruh pasang kembali aplikasinya,2
sangat memuaskan jawabannya,0
untuk sementara masi ok,0
saya tadak suka aplikasi penipu,1
respon nya cepat,0
sangat membantu saya dan keluarga,0
"informasi yang dijelaskan sangat detail, dan rata2 pelayanan sangat ramah",0
sangat baik,1
sangat spam sekali ya telfonnya no gajelas semua,0
mantap sangat puas dan membantu sekali makasi aplikasi alodokter  salam sehat,0
puass,1
sangat membantu,0
bagus sangat membantu menjawab,0
sangat baik dan membantu banget,0
sangat membantu,0
sangat membantu sekali terima kasih alodokter,0
"membantu pemahaman tentang ambeien dan wasir dan benjolan yg diakibatkannya luar atau dalam, dan belanja untuk segera diperiksa, juga pola makan yg sehat yg banyak mengandung serat.",0
aslmkm dokter suami saya mengalami batuk2 terus dan klo musim dingin brsin2 trs.kmrn dh prksa kedokter ktnya gejala asma obatnya udah hbis msh saja kedokter lg ktnya asam lmbung naik diksh obat alhmdlh smbuh.tp kta sumi sya msh sesak klo brnafas cr mngobatinya bagaimana?trma ksh,2
respom dokter sangat baik,1
sippp,1
cepat banget,0
dokternya ramah,0
respon cepat,1
sangat membatu dan cepet ngerespon,0
sangat membantu sekali,0
2 bintang dulu karena baru download ,1
"gak jelas, penipuan, hati hati auto debit yang sangat susah di hentikan dan uang tidak bisa dikembalikan",2
baik,1
"kecewa sekali dengan sales alodokter, sudah di bantu untuk kejar target tapi aplikasi baru aktifasi sudah d debit saja dari atm. bilangnya gratis pada satu bulan awal pemakaian tapi ini baru seminggu sudah d debit. ketika di hubungi alasannya ada perubahan sistem mendadak, alasan apa ini. tolong lah sales yg seperti ini di beri teguran.",0
sangat membantu,0
sangat membantu. terima kasih dok.,0
"sangat membantu,,konsultasi dg dokter yg tepat d bidang nya",0
langsnk di respon cepet dan penjelasan nya dapet mengerti seperti langsnk ketemu dokter nya.he,2
bermanfaat,1
membantu bngt,2
"bagus bangett, dokter nya ramah ramah, penjelasan dokternya juga mudah di pahami",0
makasi respon nya cpat saya suka dngan ada nya apk ini dpt mmbantu kluhan mudhn peminat nya banyak,2
bagus,1
terimakasih alodoc,1
sangat memuaskan penjelasannya,1
ok,1
terimakasih atas jawabannya saya puas,0
cukup menolong di saat terjebak dengan kegalauan terutama soal anak. apalagi ketika waktu tidak mendukung temu langsung dengan dokter. googling bikin makin stres karena tidak tau mana artikel yang dapat dipercaya. berbicara dengan dokter setidaknya mengarahkan pikiran kita lebih fokus. meskipun ujung2 nya pasti butuh kunjungan langsung ke dokter terkait.,0
"terimakasih untuk jawabannya sangat membantu dan jelas, semoga dokter disini mendapatkan balasan kebaikan aamiin",0
respon yang baik,0
fast respon terimakasih,0
fast respon dan menanggapi dengan baik,0
"dokter nya ramah, cepat tanggap dalam menjawab setiap pertanyaan",1
"bagus,cuma ada beberapa masalah saat ingin membuka chat dengan dokter nya",0
apakah setiap chating bayar dok.,0
"sangat membantu dan mudah di gunakan, dan juga bisa berguna di saat membutuhkan pertannyaan masalah kesehatan",0
"di suruh kirim foto, udah di kirim, tapi tidak di kasi tau salep apa yg harus saya beli ",2
makasih dok..,0
pelayana cepat dan respond baik .. terimasih,0
good,0
"jazakallah khairan kepada semua pengembang dan mamber alodokter, kalian semua luar biasa.",0
sangat membantu,0
sangat membantu sekali,0
"dokter y ramah"" n secara detail menerangkan apa keluhan kita... mksh alodokter",0
good,0
"bagus banget cukup puas buat jawaban""nya dn cepet responnya",0
mantep,1
"sdh bayar tp blum bisa chat sm dokter nya ,,gmna donk",2
jadi tau apa yg harus dilakukan,1
langsung dijawab ,0
aplikasi alo dokter ini membantu untuk konsultasi,1
penjelasan doktr nya sangt jelas,1
sangat mudah di mengerti penjelasannya dan sangat membantu saya dalam persoalan masalah makan anak dan vitamin untuk anak,0
"saya chat dokter nya pas posisi masih online, tpi tiba2 dokternya offline, pesan belum di jwab smpe 30 menit, tpi udah dapat notif kalo chat berakhir. saya belum dapat jawaban.. ini mksudnya gimana? udh trlanjur bayar gk dapat solusi.. ",2
sangat membantu,0
great,0
"percuma bayar. udah chat, ga dibalas selama 30 menit sama dokternya. terus langsung di close aja sesi chatnya. ga jelas banget‼ kecewaaaaaaaaa.",2
sangat membantu,0
kenapa data kita bocor woy!!! sialan . gabisa jaga privasi . merugikan . hapus aja dari playstore . banyakbyg nelfon . pas di cari no tsb ternyata banyak yg bilang penipu dri alodokter . payahhhh !!!!!!!!,2
sangat membantu dan informatif. pelayanan baik dan cepat.,0
"ini si parah banget ya, salesnya ga mau tanggung jawab udh kena auto debit begini, pihak alo dokter whatsapp ga direspon, telfon malah di lama lama in, sampe pulsanya abis, kaya gini gimana berentinya, bukan masalah 39rb nya, tapi cara nya kaya nipu gini, tolong dong jangan nyusahin orang lagi jaman begini, tolong yg ngerti berenti iin nya gmana???",2
"puas, dokter komperatif menjawab pertanyaan nya, dan banyak hal yg di ketahui dari apa yg kita tanyakan",0
dokternya yang bernama fitrian hanif zulkarnain tidak membaca dengan baik pertanyaan. opsi pertanyaan yang diajukan dokter tidak nyambung dengan apa yang saya konsultasikan. dan obrolan sesi diskusi berakhir karena saya tidak bisa memilih pertanyaan opsional yang gak nyambung dari dokter. terima kasih.,2
"saya sangat puas,atas pelayanan alodokter yg cepat,dan sangat jelas,,,,,",0
you are still alone,1
terimakasih dokter udah memberik jawaban yg ber mafaat sekali buat saya ,0
mudah²an cocok dengan obatnya,1
"mantap sih pencerahan nya sangat cepat ngga perlu langsung ke klinik atau rumah sakit ,makasih pencerahan nyaa ..aplikasinya pokonya mantap",0
"mantap, ada dokter gratis nya untuk sekedar coba coba dl, gak kaya app sebelah . ",2
masih terpitong krn salah pencet,1
sales alodokter nelpon saya padahal saya baru daftar langsung dapat undian 1 juta dia minta no rekening untuk pencairan . seles udah pasti dia mau nguras rekening saya tiap bulan . mau nipu apa mau aman boss. bikin laporan penipuan kena semuah sales alodokter biar aplikasinya tutup juga . pengurus aplikasi gak becus ngurus karyawan nya,2
dokternya cepat respon,0
dokternya sangat clear menjelaskan dan menjawab pertanyaan saya.,0
sangat membantu,0
merasa terbantu dengan keluhan keluhan yg saya alami dengan aplikasi alodoktet,0
sangat cepat dan ramah,0
"aku kemarin konsul dadakan konsul malem malem sama dokter kulit karena kulit baby ku ruam. karena masa ppkm akhirnya beli obat juga di aloshop, sempet lama datengnya. akhirnya saya telpon aja cs biar cepet diproses, cuma butuh 10 menit langsung dateng depan rumah. berkat paket telemedicine yang ditawarin sama salesnya, konsul nya jadi murah banget dan ongkir obat juga gratis. over all puas sama aplikasi ini!",2
sangat membantu apikasiny tpnutk bertanya ke dokter spesialis nerbayar rata rata rp 35.000,0
"aplikasi yang sangat rekomendasi sekali. pertama kali coba ternyata tersedia layanan chat dokter gak bayar sama sekali, gratis. beli obat juga bisa langsung di aplikasi.",0
"bingung ini sistemnya gimana. saya ingin konsul,pdhl dokternya online, saat saya chat tidak membalas selama 30 menit tiba² sesinya ditutup karena dokter tidak membalas, sedangkan saya merasa dirugikan karena saya sudah bayar tetapi saya tidak mendapatkan hak saya. ini kalo mau chat lagi harus bayar lagi, kenapa bisa begitu? dimohon diperhatikan lagi pelayanan nya.",2
kemarin saya melakukan pendaftaran alodok dari sales.katanya cuma pendaftaran saja.tapi kenapa tidak disebutkan pemotongan dana/auto debet langsung. sudah berusaha konfirmasi kenomer yg tertera diulasan tidak.ada respon malah cuma meninggalkan pesan suara.,2
terimakasih,1
terima kasih alodok sangat membantu aplikasi ini,1
sangat membantu,0
sangat membantu,0
oke,1
ok,1
karena baru gabung jd br s edikit membantu keadaan kesehatan,0
sangat puas karna pertama kali pakai free,1
cepat responsnya,1
terima kasih,1
aplikasinya sangat membantu terimakasih,0
alodokter saya ga buka aplikasi tapi tiap bulan di potong otomatis dari rekening saya semoga berkah uang nya bukan jadi penyakit,2
"dulu ada seles alodokter kata nya d daftarin biasa buat masuk aplikasi sambil melas melas mohon mohon , hati nurhani saya niat membantu kata nya dia cuma buat nyari orang buat target laporan , eh saya baru sadar setelah berbulan bulan ternyata saya di kasih tagihan setiap bulan dan di potong langsung dari bank tanpa saya sadari 39 rb udh berjalan hampir 2 tahun",2
dokter risa ramah,0
sangat membantu,0
sangat membantu,0
sanngat membantu sekali..,0
sangat membantu di masa pandemi covid. apalagi sudah bermitra dengan kemenkes.,0
sangat membantu,0
terima kasih tuk pertanyaan saya yang langsung di respon baik oleh dokternya.. sukses selalu buat semuanya,0
sangat membantu,0
masyaallah aplikasinya sangat membantu masyarakat kecil sperti sya dan terima kasih atas bantuan nya thank buat apk ini smoga mnjadi trending dan bnyak yang minati,0
terimakasih alodokter sangat bermanfaat,0
aplikasi yang sangat membantu sekali,0
sangat membantuu,0
bagus,1
mksi app al sy senang donloat app ini,2
penjelasannya detail dan komprehensif.,0
"parah mau berhenti berlangganan tapi malah slow respon banget, giliran awal ngajak gabung aja cepet banget. saya bakal datengin salesnya nanti. buat yang lainnya jangan coba2 gabung deh, nanti nyesel bangettttttt",2
rama doktenya,1
"bagaimana cara menonaktifkan auto debit untuk tidak berlangganan lagi.. saya sudah di tipu oleh sales aplikasi ini, katanya tidak berbayar.. dan tidak menjelaskan secara detail bagaimana prosedur nya.. dan buruknya lagi, tidak ada riwayat ketika saldo d auto debit... mohon di bantu",2
responsif,1
dokter sangat ramah dan baik,0
membantu sangat,0
ok bagus dimasa pandemi,1
"customer services kurang membantu, lama prosesnya cuman via wa, tidak bisa protes kalau barang yang dikirim salah. harga dan kuantitas yang tercantum di aplikasi tidak sesuai dengan jumlah barang yang di dapat saat sampai di rumah (harusnya 24 ribu dapat 2 pcs, malah cuman satu yang dikirim). kalau ngajuin pembatalan terkait janji cek kesehatan susah, prosesnya lama. tidak bisa kasih catatan juga buat apotek kalau mau kasih notes saat beli barang",2
terimakasih,1
"aplikasi yang sangat bermanfaat, artikel kesehatan yg lengkap dan informastif bisa jadi referensi buat tugas2 kuliah. pernah dulu dapet telepon juga dari marketingnya nawarin berlangganan chat. terima kasih alodokter.",0
penjelasanya bagus dan dokternya ramah,0
baikj,0
"tolong hentikan layanan berlangganan saya, aplikasi nya tidak berguna. sekarang tiap bulan ngambil uang saya di rekening. udah lapor cs untuk hentikan layanan, gk ada respon...",2
"dari dulu alodokter memang bisa di andalkan soal konsultasi.. sangat membantu untuk masyarakat. 2018 saya uninstall karena yang sebelumnya mudah konsultasi menjadi susah, sekarang saya install ulang kalo pertama dikasih gratis mudahan seterusnya.. hehehe saya kasih bintang 5. semoga seluruh dokter tetap ramah dan ikhlas dalam melayani masyarakat di setiap kalangan tanpa pandang bulu.",2
sy sesak nafas klu berjalan atau lakukan aktivitas,1
aplikasi ini sangat membantu saya,0
puas dengan penjelasan para dokternya,0
"nyebar data !!! data pribadi, ditelfonin sama spamer terus mengatasnamakan alodokter.",2
kok bisa bisanya motong terus ? ga ada fasilitas apapun kok motong,2
alodokter sangat membantu di saat membutuhkan.,0
terima kasih alodokter sudah bisa membantu,1
ok sangat membantu,0
sangat membantu sekali,0
terimakasih banyak atas info kesehatannya. sangat membantu.,0
sangat membantu,0
dokternya enak diajak konsultasi,2
mantap,0
sangat membantu,0
sangat membantu,0
bermanfaat,1
"dokternya ramah,jawaban dapat dimengerti",0
bagus,1
tidak ada respon yg baik,1
sangat membantu,0
cepat respon,1
beri bintang 3 dulu soal baru menggunakan aplikasi ini,1
alodokter respon cepat dan terbaik,0
"aplikasi ga guna !!! pake instan tulisan 1 jam sampe tapi ydh 1 jam status blom juga di ambil kurir, chat cs bilang di proses besok, gw beli di aplikasi karna butuh bgt dan ada jaminan 1 jam sampe. malah di kirim besok !!! mana ga visa cancell pula",2
mantap,0
ga bisa di buka,1
good,0
jawaban dokter terlalu monoton kalau begitu mending saya cari di google saja,2
unistallllll,1
respon real,0
"ramah,mudah dipahami,dan sangat baik",0
terima kasih dok. sangat membantu,0
dokternya komunikatif dan solutif,0
sangat bauk,0
sangat membantu,0
bagus,1
mwmbantu banget apalagi sering gratis ongkir,1
saya serering mengeluar kan air mata tapi bukan menangis kerna mata saya ketarak apa bòleh saya mnum obat cacing dokter... teŕimakasih.,2
"sudah saya unistal apk ini karna ram penuh, ehh tau nya kena telpon penipuan. minta no rek saya bilang nggak ada. langsung dimatiin dong. gimana ini alodokter, data kita bisa bocor. untung aku nggak kena tipu sama orang nya ",2
"pengalaman saya selama ini dokter pakai es lumayan bagus,,tapi hanya untuk sementara,,,",2
memuaskan,1
cuukup membantu,0
sangat membantu,0
sangat memuaskan... penjelasan dokter2 disini...,0
sangat membantu,0
auto uninstall,1
"saya pakai aplikasi ini sudah bayar dan transaksi mau konsul dengan dokter, uang sudah di potong tapi tdk ada respon dr dokternya tiba2 transaksi saya ditutup, bayar sia sia !! sangat tidak profesional ",2
sangat membantu,0
sangat membantu di saat kita bingung harus minum obt ap,0
"apikasi rampok... ga pernah daftar, ga pernah konsul tiba tiba narik saldo autodebet. anehnya lagi ada dokumen yg sudah saya tanda tangani di atas materai, padahal saya sama sekali tidak pernah tanda tangan apapun. ini pasti kelakuan sales sales mereka yang palsuin tanda tangan saya. hati hati kalau ketemu sales alodok mending ludahin saja.",2
dokternya ramah,0
sangat membantuku,0
sangat membantu saya,0
gimana si cara berhntiin langgana. krna sy tdk pernah konsul dan saya jg merasa di bohongin sm yg nyari² nasabah supaya downdld alodokter bnci bgt tiap bulan kepotong trs saldo atm sudah 2 thn mah ada x .. bkin rugi aja percuma kan klw tdk d pakai konsul,2
sangat membantu dan mudah,0
prtama kali pakai dn dapat doktr yg sangat ramah dan detail. terimakasih alodokter,0
alodokter ga bagus hari ini bener² butuh ga bisa dipake udah bayar 2 x untuk dokter anak malah pemberitahuanya belum bayar.,2
tanggapan sangat lama.chat pertama n tanggapan pertama gk sesuai sampai saya ketiduran. sdh bayar tetapi gk bisa konsultasi..tolong ditingkatkan kembali tanggapan nya.,2
respon sangat cepat,0
mantap,0
sangat membantu skali..,0
responsip dokternya,0
lngsung unistal.. mau tanya dokter berbayar ,2
"apps alodokter ini kurang professional. chat saya sejak awal didiamkan oleh dokter (dr. muhammad ramadhan alkausar- dokter umum). saya tunggu sampai 30 menit tak dibalas. alasannya notifnya baru masuk kata dokternya. saya ini konsul bayar ya, bukan gratisan. tolong alodokter perhatikan lagi kualitas apps dan dokternya. tks.",2
suka,1
alhamdulillah setiap pertanyaan selalu di jwb dengan jelas,0
puas,1
sangat puas,1
mantul apknya,0
sementara 4 dulu. semoga membantu saya yg lagi masa hamil pertama,0
jelas dan faham terima kasih,0
sangat membantu,0
"barusan saya di telfon sama aplikasi alo dokter dan mau ngasih uang cuma cuam 2 juta apa ia,dan minta nomer rekening saya untuk apa kenapa minta nomer rekening saya , apakah nnti ada penarikan dana secara tiba tiba tolong ia jgan seperti itu nyari uang sekarang susah boss",2
sangat membantu,0
trimakasih byk sdh sangat membantu ttp kalo bs no hp kita tidak d berikan kepada oknum asuransi ,2
dapat telfn dari alodokter di minta data diri dan minta no rekening ,2
respons cepat dan ramah,0
"trims kpd alodokter yg telah memberikan sy saran yg sangat membantu saya ,,",0
sangat cepat respon dokter yang dipilih sistem,0
cepat responnya,0
sangat puas,1
app nya sngat bagus,0
"so bad ! sebaiknya perlu di cut beberapa dokter yg nggk punya etika penyapaian ke pasien ini kali pertama sya konsul di bentak dokter ! klo dokter ada kepentingan lain sebaiknya bilang diawal jgn main off dan jwb lama agar pasien tdk menunggu terlalu lama mohon sama""menghargai waktu org lain tdk hanya pasien yg perlu dokter tp mutualisme ya ! saling membutuhkan",2
terima kasih sangat membantu petunjuk,0
aplikasi sangat membantu dan sangat bagus cara berkomunikasi juga sangat mudah. dan trimakasih ,0
apk yg bermanfaat.. ,0
baik respon dan masukannya,0
jawabannya memuaskan,0
dokter sangat baik & ramah.,0
luaarr biasaaaaahhh,1
makasih dok,1
halo dokter sy mau menyampai kan keluhan sy ini tulang tulang sy terasa kaku sakit dan bengkak kenapa ya dok sy tkt dok mohon penjelasan nya dan obat yg utk menyembuh kan tulang bengkak,2
"balasan chatny cepat, serta dokterny juga ramah.",0
pelayanan yang cukup baik dan saya sangat suka,0
aplikasi kga jelas saldo kepotong terus parah tolong berhentiin dong,2
makasih solusi nya,1
berasa punya dokter pribadi.. informatif dan sangat bermanfaat. maju terus dokteeer... trimakasih,0
sangat membantu,0
cukup membantu.,0
terima kasih untuk jawaban yang memuaskan,1
"syukurlah ada aplikasi ini, amat sangat membantu",1
"sangat membantu untuk konsultasi penyakit apa saja, trimakasih alodokter",0
ramah dan sopan,0
"saya umur 42thn, dah mulai terasa sakit rematik. pa lagi kalo kecapekan abis cuci baju, tangan nyeri, kaki nginjek aja sakit, lutut suka sakit kalo berdiri kembali. apakah ini ada hubungan sama diabet? kebetulan mama saya yg diabetes. kalo saya belum periksa sama sekali.",2
good,0
"sangat berkesan, penjelasan dokter sangat membantu.. tr. ksh",0
trimakasih dokter nya baik dan sabar. sllu mmbri jawaban di stiap prtanyaan..,0
